Name,Nodes,SomaSurface,Stems,Bifurcations,Branches,Tips,OverallWidth,OverallHeight,OverallDepth,AverageDiameter,Length,Surface,Volume,MaxEuclideanDistance,MaxPathDistance,MaxBranchOrder,AverageContraction,AverageFragmentation,AverageParent-daughterRatio,AverageBifurcationAngleLocal,AverageBifurcationAngleRemote,HausdorffDimension,Cluster
1129578680_sort.swc,8728,186.288,4,1303,2613,1311,446.37,332.608,54.153,0.547725,2666.05,4940.79,1576.94,377.862,490.592,286,0.980686,2.33984,0.811057,99.9199,96.4225,1.20362,3
11537871849_sort.swc,25450,145.28,4,3621,7256,3636,582.46,591.936,156.222,0.594504,7803.38,14916.6,4088.31,440.562,523.762,315,0.980025,2.5073,0.818997,101.375,97.4905,1.17728,2
12831199228_sort.swc,27479,217.862,5,2347,4702,2356,528.54,592.67,156.189,0.535664,8576.21,15179.4,4668.67,414.674,531.528,145,0.975363,4.8439,0.815528,100.996,95.377,1.16992,2
1318747740_sort.swc,15518,531.701,6,2670,5364,2695,398.5,670.436,172.689,0.727638,4790.09,11667.1,4746.33,471.483,592.285,362,0.980132,1.8928,0.831018,101.03,97.7754,1.20501,2
1406019433_sort.swc,7059,99.8294,5,984,1973,990,301.73,442.784,65.307,0.902253,2197.34,6569.39,2843.73,273.469,325.348,182,0.977591,2.57729,0.857688,100.019,95.871,1.1462,3
14157816356_sort.swc,16486,153.213,7,1216,2439,1224,567.33,430.85,152.427,0.456367,5169.67,7801.25,1819.61,392.513,468.974,149,0.97069,5.75892,0.858086,102.799,96.724,1.16404,0
1465050644_sort.swc,8125,194.691,3,1212,2431,1220,241.57,410.656,173.151,0.56758,2499.89,4796.46,1599.66,259.905,328.489,167,0.979301,2.34183,0.80752,100.477,96.6853,1.12096,0
1465941838_sort.swc,5975,125.283,3,800,1604,805,192.1,340.128,55.605,0.480682,1828.57,2914.03,651.729,240.007,308.849,168,0.978584,2.72444,0.793512,101.535,97.1037,1.11911,3
14665552179_sort.swc,7104,95.6264,3,452,905,454,374.85,295.9,148.896,0.600572,2244.5,4468.56,1453.38,269.461,322.597,89,0.964462,6.84862,0.824587,102.028,94.0021,1.09474,4
15891116091_sort.swc,10056,89.6347,4,1787,3585,1799,356.87,391.81,52.602,0.530368,2999.14,5264.28,1459.63,313.13,393.966,300,0.982196,1.80474,0.811167,100.168,97.4132,1.17148,3
1611001917_sort.swc,5764,239.177,5,682,1370,689,288.22,286.56,65.175,0.566331,1809.83,3451.65,959.306,231.526,287.608,121,0.977978,3.20657,0.807401,101.414,97.2874,1.09241,3
1842792365_sort.swc,30564,347.569,8,4829,9685,4857,541.98,630.238,173.976,0.646902,9410.66,19697.9,6720.72,430.367,501.625,250,0.980884,2.1557,0.817661,100.195,96.7976,1.19657,1
18800584074_sort.swc,12513,98.6351,3,608,1219,612,752.25,416.13,115.467,0.614417,3958.51,7828.04,2402.76,624.95,717.098,103,0.96528,9.26415,0.815869,103.484,94.7641,1.13919,4
1916512679_sort.swc,10889,189.356,3,1361,2727,1367,357.09,446.688,163.647,0.498187,3381.12,5404.1,1096.6,320.877,407.159,196,0.977069,2.99267,0.785688,101.372,97.106,1.14378,0
1918120342_sort.swc,33663,259.005,4,4976,9975,5000,730.98,657.344,173.712,0.50182,10228.6,16440.9,4076.59,449.506,608.829,519,0.979359,2.37464,0.817984,100.508,96.9579,1.21053,1
1944634422_sort.swc,4152,71.8158,4,473,949,477,210.98,255.968,54.384,0.580664,1290.2,2570.48,865.623,233.682,275.347,134,0.975137,3.37408,0.820361,99.9316,95.8862,1.10256,3
2029598660_sort.swc,15819,240.413,5,1367,2740,1374,456.16,512.74,119.46,0.422152,4936.55,6672.32,1157.9,381.265,449.99,115,0.977606,4.77299,0.782092,101.281,96.9014,1.18228,3
2119088725_sort.swc,36691,221.365,5,5804,11627,5824,685.19,649.182,174.174,0.662486,11282.6,24075.9,8003.37,493.934,609.782,375,0.980078,2.15559,0.812528,100.358,97.0378,1.1932,1
2121804251_sort.swc,8504,86.0421,4,1272,2548,1277,290.88,339.042,54.648,0.549189,2592.06,4638.75,1243.94,245.235,311.87,171,0.98023,2.33713,0.835267,102.135,98.3573,1.13065,3
21639953360_sort.swc,15987,212.244,9,545,1097,553,626.65,578.14,130.35,0.524918,5119.88,8946.71,2271.68,634.085,694.832,89,0.963839,13.5725,0.833866,101.427,93.2446,1.14358,4
2194311293_sort.swc,6853,130.357,5,1153,2316,1164,204.7,280.964,146.652,0.590877,2078.82,4303.79,1849.34,199.094,239.189,142,0.980444,1.95855,0.837763,100.829,97.6482,1.14941,3
2204254594_sort.swc,32228,311.859,7,3118,6249,3132,575.42,710.85,173.514,0.597685,10090.1,20050.2,7116.75,537.342,622.933,158,0.975007,4.15715,0.842114,101.511,96.3173,1.16935,1
2276967555_sort.swc,33347,549.054,8,3841,7699,3859,699.24,781.822,173.844,0.555467,10370.3,19266.8,5621.55,648.318,741.779,212,0.975092,3.33121,0.822033,100.941,96.3389,1.1682,1
2291524761_sort.swc,22153,207.765,10,2456,4925,2470,549.41,667.488,174.141,0.555355,6964.64,12832.4,4486.8,505.738,557.831,199,0.974956,3.49787,0.809941,101.386,96.6466,1.14223,2
23227840851_sort.swc,18335,110.903,4,2336,4676,2341,716.55,588.03,137.313,0.540238,5607.58,9727.22,2140.29,511.496,606.931,223,0.978442,2.92087,0.820296,100.174,95.9449,1.14318,2
2323881190_sort.swc,9826,205.155,5,705,1414,710,525.98,383.36,113.883,0.53403,3094.69,5422.15,1202.72,381.354,450.706,124,0.973764,5.94837,0.831307,98.5942,93.0661,1.15039,0
2324597169_sort.swc,14751,378.891,5,2078,4168,2091,378.08,628.13,162.294,0.53034,4535.72,7762.41,1645.29,383.653,526.441,396,0.980771,2.53887,0.833924,101.554,97.672,1.14562,2
2368034011_sort.swc,20419,237.773,4,3352,6725,3374,337.15,578.628,174.306,0.593172,6206.54,12009.5,3470.87,497.807,575.926,357,0.982633,2.03613,0.826928,100.044,97.2005,1.16807,2
2396521784_sort.swc,20565,70.8637,4,3742,7503,3762,726.08,838.69,173.613,0.651418,6226.93,12691.6,3203.44,707.974,843.085,550,0.980944,1.74077,0.838554,100.427,97.8058,1.19568,1
2426016106_sort.swc,18661,74.9378,7,3266,6553,3288,400.8,607.772,174.207,0.528785,5611.66,9513.21,2028.36,444.606,540.641,372,0.981492,1.84755,0.818553,99.8614,97.2626,1.16498,2
2439374821_sort.swc,9957,177.917,6,761,1528,768,472.51,527.168,114.873,0.571106,3160.49,5867.47,1337.67,487.453,540.784,129,0.97239,5.51571,0.805005,100.065,94.5585,1.1015,0
2451669985_sort.swc,6516,247.773,5,279,562,284,361.08,588.188,49.434,0.53976,2113.51,4118.22,1966.88,498.389,551.159,76,0.968799,10.5925,0.770905,101.411,94.1183,1.20188,4
2453932172_sort.swc,6197,164.771,3,370,741,372,412.16,232.71,112.266,0.566454,1964.2,3687.79,940.204,275.368,313.677,51,0.964298,7.36167,0.825727,100.26,93.2444,1.0611,4
2466780563_sort.swc,12953,512.5,6,1413,2834,1422,533.47,665.732,174.504,0.619111,4068.6,8778.79,3436.67,643.847,742.368,252,0.974486,3.57022,0.836197,102.222,97.7369,1.12889,0
2484579996_sort.swc,6256,165.511,4,849,1703,855,309.7,200.736,161.535,0.522079,1924.25,3438.78,1312.54,199.09,263.296,168,0.977938,2.67293,0.836727,101.065,97.7965,1.15531,3
24872423998_sort.swc,23267,202.377,4,3194,6395,3202,480.8,651.364,115.302,0.614576,7150.91,14047.1,3457.25,459.105,516.435,230,0.978184,2.63815,0.820114,100.442,96.4502,1.15573,2
2525958434_sort.swc,4013,197.32,4,443,890,448,343.71,417.824,56.991,0.720103,1270.42,3046.76,877.435,306.242,382.481,163,0.975693,3.50787,0.848782,102.898,98.0026,1.09115,3
2542165513_sort.swc,8534,204.255,8,919,1845,927,487.9,428.544,174.306,0.527874,2706.05,4660.85,986.616,457.333,531.6,199,0.978454,3.62493,0.790517,99.8711,95.4115,1.16071,0
2542721640_sort.swc,7677,78.7328,5,1039,2084,1046,240.29,366.464,168.927,0.513924,2363.66,3972.75,909.051,225.371,280.227,130,0.977302,2.6833,0.808629,101.506,96.4506,1.09087,0
2542837524_sort.swc,25429,284.707,6,2663,5334,2672,420.77,619.744,114.642,0.672918,7957.78,17744.2,6447.24,376.828,431.327,171,0.978511,3.76715,0.83255,100.108,95.8648,1.17789,2
2542866565_sort.swc,7768,243.944,4,962,1930,969,366.78,396.22,151.041,0.506601,2406.08,3995.75,872.758,361.824,480.51,255,0.97563,3.02435,0.810756,101.094,96.119,1.12882,0
2570726190_sort.swc,11391,104.315,5,755,1515,761,345.31,575.424,113.883,0.426697,3585.23,5022.68,1141.35,308.945,385.74,79,0.972438,6.51815,0.775428,101.873,96.2139,1.14695,3
2671137240_sort.swc,7976,96.9978,3,745,1494,750,360.16,373.668,65.439,0.608517,2486.71,4949.36,1653.08,293.045,403.769,152,0.972028,4.33802,0.837462,101.403,97.5469,1.13306,3
2685168558_sort.swc,5448,147.78,3,525,1052,528,333.64,297.088,147.642,0.639703,1707.75,3700.88,1537.57,300.791,353.56,149,0.972484,4.17776,0.855426,102.112,95.6905,1.15326,0
27666677953_sort.swc,22031,278.259,6,2326,4664,2339,524.86,598.144,116.952,0.617093,6885.65,14218.3,5483.89,467.431,540.981,156,0.979083,3.72341,0.816087,100.331,95.6553,1.14918,2
27694520166_sort.swc,13189,121.74,4,1063,2131,1069,433.5,512.188,171.996,0.491872,4109.85,6542.36,1665.33,343.532,424.714,112,0.9724,5.18864,0.826487,101.127,95.274,1.13739,0
27914265666_sort.swc,17652,279.106,4,2464,4936,2473,533.51,382.56,117.018,0.527178,5425.1,9239.57,2383.34,349.431,447.077,264,0.979139,2.57597,0.812875,101.857,97.9006,1.17852,2
27957324782_sort.swc,12884,205.906,5,1776,3559,1784,440.03,451.904,112.728,0.607527,3980.84,8180.36,2740.26,333.414,402.091,226,0.978045,2.61984,0.821826,100.655,96.6327,1.11224,3
27972057340_sort.swc,29317,147.715,5,4247,8511,4265,423.87,519.328,118.899,0.58835,9038.49,17084.5,5563.79,321.748,415.059,228,0.980288,2.44448,0.778837,100.469,97.4652,1.21097,1
27987974168_sort.swc,12529,163.728,12,1960,3935,1976,329.63,430.784,119.559,0.532123,3864.75,6607.61,1349.37,292.599,366.579,220,0.980882,2.18374,0.832161,101.44,97.7981,1.12918,3
28031614425_sort.swc,13723,82.2823,4,1809,3624,1816,230.49,426.56,117.447,0.448338,4169.7,6012.41,1274.66,277.748,325.224,171,0.980293,2.78642,0.823294,100.578,97.1599,1.21061,3
28060189045_sort.swc,17791,224.738,6,2257,4529,2273,469.54,572.0,116.853,0.535417,5472.09,9644.68,2597.29,432.981,513.81,308,0.979605,2.92802,0.829648,100.504,97.0072,1.15257,2
28073943660_sort.swc,11704,207.835,5,1886,3780,1895,359.04,385.696,115.071,0.592976,3570.55,6801.78,1708.78,277.479,326.178,201,0.981146,2.09603,0.833065,100.391,96.931,1.1132,3
28089317860_sort.swc,29887,183.412,5,5656,11338,5683,510.24,593.728,119.526,0.637332,8986.53,18572.7,6786.58,422.625,520.103,335,0.980724,1.63591,0.836951,100.099,97.5606,1.20498,1
28104912701_sort.swc,19334,177.723,3,1391,2790,1400,333.15,536.704,115.137,0.386011,6034.3,7515.52,1490.94,294.266,607.791,121,0.976236,5.92939,0.796369,101.765,96.794,1.23377,3
28132464174_sort.swc,23900,196.16,2,3412,6845,3434,509.37,649.76,121.803,0.666563,7375.93,15589.6,5147.4,440.999,523.182,316,0.980972,2.49145,0.828985,100.363,97.5738,1.18962,2
28133427218_sort.swc,11336,103.852,4,1518,3041,1524,287.29,475.424,118.371,0.525336,3462.9,5937.59,1408.01,304.731,367.927,169,0.979043,2.72739,0.816217,99.351,95.6975,1.0829,3
28148729981_sort.swc,8427,139.554,5,952,1911,960,249.6,334.08,116.655,0.485555,2612.57,4158.06,862.331,235.553,296.054,117,0.974814,3.40921,0.792236,100.675,95.2434,1.06525,3
2817234973_sort.swc,26847,271.185,7,3933,7885,3953,501.53,693.118,174.108,0.633249,8255.3,16971.7,5651.21,447.673,511.785,251,0.978115,2.40469,0.837483,101.077,97.3001,1.20998,1
28205280027_sort.swc,22199,239.352,4,2266,4537,2272,495.93,632.672,115.434,0.582776,6907.31,13213.7,4037.25,430.455,679.821,181,0.978105,3.89266,0.811912,100.34,95.3506,1.15565,2
28234962621_sort.swc,11989,256.575,4,1753,3511,1759,321.63,567.68,113.19,0.52607,3689.47,6212.48,1160.86,370.103,420.86,183,0.982241,2.41441,0.797221,100.734,96.7676,1.16797,3
28248075578_sort.swc,25305,148.476,5,3140,6289,3150,528.19,597.824,114.51,0.641245,7829.56,16395.9,6396.27,363.246,462.957,204,0.978194,3.02353,0.820775,101.784,97.3911,1.18481,2
28262471915_sort.swc,29692,416.591,5,4023,8069,4047,493.19,581.632,114.84,0.664588,9267.31,20183.6,8103.71,363.132,454.104,206,0.979095,2.67964,0.807449,100.735,97.2219,1.19803,1
28263610786_sort.swc,26513,194.589,9,3330,6682,3353,748.51,636.032,114.84,0.529805,8199.95,13776.1,2802.82,544.957,656.924,304,0.979869,2.96767,0.838531,100.686,97.061,1.16098,2
28291834258_sort.swc,30935,996.317,8,5506,11042,5537,507.62,650.628,114.609,0.611289,9505.14,19059.0,5260.17,454.483,509.806,317,0.981032,1.80149,0.815842,100.123,97.5129,1.19947,1
28349785311_sort.swc,19757,357.814,8,2319,4647,2329,546.27,601.248,114.708,0.673344,6215.53,14563.8,6856.51,362.943,481.532,222,0.977126,3.25134,0.81697,100.511,96.1438,1.1482,2
28351362142_sort.swc,17717,94.1912,5,2498,5006,2509,507.59,533.44,118.635,0.599212,5405.0,10490.7,2804.47,466.282,571.176,268,0.981163,2.53895,0.832859,100.589,96.4277,1.13746,2
28366342582_sort.swc,27163,203.484,6,4164,8350,4187,528.8,653.412,118.965,0.600674,8314.34,16127.5,4722.57,398.102,461.066,327,0.980695,2.25293,0.834353,100.306,97.3842,1.20304,1
28380564814_sort.swc,12103,63.9315,6,1449,2905,1457,405.89,464.448,119.427,0.497591,3755.6,6012.35,1417.35,392.206,463.84,199,0.976831,3.16592,0.78182,101.064,96.1655,1.12119,3
