Name,Nodes,SomaSurface,Stems,Bifurcations,Branches,Tips,OverallWidth,OverallHeight,OverallDepth,AverageDiameter,Length,Surface,Volume,MaxEuclideanDistance,MaxPathDistance,MaxBranchOrder,AverageContraction,AverageFragmentation,AverageParent-daughterRatio,AverageBifurcationAngleLocal,AverageBifurcationAngleRemote,HausdorffDimension,Cell type,Cell body layer,predict_layer,level,Cluster
10475824258_sort.swc,60250,120.562,2,4977,9979,5003,297.09,446.304,149.622,0.393916,18195.2,22421.2,4324.71,232.229,419.524,253,0.922187,5.03758,0.825005,101.549,95.6553,1.42073,excitatory/spiny neuron with atypical tree,layer_2,layer_2,1level,7
1146063092_sort.swc,6820,105.661,3,469,939,471,239.88,292.928,54.549,0.432855,2098.25,3127.11,880.373,258.198,375.832,169,0.927982,6.26198,0.789499,101.956,94.5782,1.25019,excitatory/spiny neuron with atypical tree,layer_2,layer_2,1level,32
1436782663_sort.swc,15358,56.8535,3,1218,2444,1227,196.67,336.736,174.372,0.382541,4633.42,5712.89,1120.71,309.845,402.094,228,0.933179,5.28355,0.821014,99.9066,95.3534,1.31611,excitatory/spiny neuron with atypical tree,layer_2,layer_2,1level,29
15289875663_sort.swc,25728,276.906,5,1450,2904,1455,519.07,374.75,174.042,0.477462,7962.04,12617.9,3291.68,303.079,381.586,110,0.925102,7.85916,0.821778,101.475,93.2596,1.22004,excitatory/spiny neuron with atypical tree,layer_6,layer_6,1level,29
15566039754_sort.swc,27935,341.307,7,1894,3797,1904,678.4,330.34,157.905,0.553407,8570.56,15771.2,5189.0,393.099,583.549,251,0.926693,6.35686,0.839397,102.003,94.5782,1.23695,excitatory/spiny neuron with atypical tree,white_matter,white_matter,1level,7
15654740825_sort.swc,53474,208.756,5,3503,7018,3516,798.31,535.71,122.1,0.532819,16361.4,28462.9,9941.08,417.731,653.039,231,0.929211,6.61941,0.841871,100.976,94.2229,1.28699,excitatory/spiny neuron with atypical tree,layer_6,layer_6,1level,7
15915938175_sort.swc,8685,29.0093,4,512,1027,516,194.75,230.31,151.437,0.54108,2685.25,4651.89,1087.18,247.805,391.453,100,0.921158,7.4557,0.834702,99.1473,93.9709,1.18521,excitatory/spiny neuron with atypical tree,layer_6,layer_6,1level,29
1800566150_sort.swc,18329,225.233,5,1177,2359,1183,282.94,531.776,174.174,0.414545,5624.6,7537.44,1234.87,338.564,407.568,112,0.925771,6.76939,0.792929,100.833,92.2693,1.23424,excitatory/spiny neuron with atypical tree,layer_2,layer_2,1level,29
1932926188_sort.swc,7160,107.523,5,524,1053,530,299.04,217.92,54.747,0.415441,2201.79,3100.98,930.265,255.256,328.309,170,0.926598,5.79867,0.808165,103.714,97.5966,1.25828,excitatory/spiny neuron with atypical tree,layer_2,layer_2,1level,32
1990103194_sort.swc,19521,202.84,5,1171,2346,1176,395.43,360.256,161.667,0.396672,6003.46,7865.77,1825.26,296.306,438.378,188,0.927074,7.32055,0.800184,101.561,94.5802,1.25811,excitatory/spiny neuron with atypical tree,layer_2,layer_2,1level,29
2034430344_sort.swc,2841,62.502,3,120,241,122,153.5,214.53,107.085,0.569063,897.612,1768.73,653.268,228.124,292.348,51,0.924384,10.7842,0.836077,97.6263,90.6023,1.09762,excitatory/spiny neuron with atypical tree,layer_2,layer_5,1level,29
2044476393_sort.swc,7564,75.1393,4,593,1191,599,189.31,211.136,58.014,0.575966,2312.12,4528.98,1845.53,198.093,230.264,138,0.927957,5.35013,0.848707,102.265,96.0759,1.34837,excitatory/spiny neuron with atypical tree,layer_3,layer_3,1level,32
2120664722_sort.swc,53317,139.346,3,4333,8682,4350,378.94,480.608,174.207,0.412182,16121.1,21072.8,4760.1,346.336,667.1,337,0.926645,5.14098,0.813978,100.988,95.1136,1.39926,excitatory/spiny neuron with atypical tree,layer_2,layer_2,1level,7
2149691670_sort.swc,19073,108.988,3,1448,2904,1457,216.96,378.912,174.042,0.45019,5828.92,8488.86,2374.06,273.263,314.994,117,0.923102,5.56749,0.794045,100.483,94.2678,1.28458,excitatory/spiny neuron with atypical tree,layer_2,layer_2,1level,29
2165577027_sort.swc,9256,78.8341,3,712,1427,716,315.2,235.584,54.681,0.451045,2799.39,4191.66,1375.61,209.759,299.068,204,0.934787,5.48563,0.838587,101.887,97.2868,1.30488,excitatory/spiny neuron with atypical tree,layer_2,layer_2,1level,32
2296286050_sort.swc,15780,127.74,4,1253,2513,1261,385.34,250.722,146.718,0.389704,4759.51,5968.71,1114.47,338.003,439.865,316,0.931334,5.27895,0.838046,101.62,94.9578,1.36249,excitatory/spiny neuron with atypical tree,layer_2,layer_2,1level,29
2339168813_sort.swc,44198,166.119,5,3861,7748,3888,337.25,563.458,162.822,0.376385,13238.1,16065.7,3541.89,408.636,504.087,353,0.929288,4.70431,0.825903,99.6269,95.2006,1.38541,excitatory/spiny neuron with atypical tree,layer_2,layer_2,1level,7
2646330667_sort.swc,7842,31.2192,5,625,1255,631,138.82,219.614,54.516,0.44784,2363.11,3422.56,770.815,210.191,271.249,167,0.929661,5.24781,0.847576,101.337,96.1806,1.30788,excitatory/spiny neuron with atypical tree,layer_2,layer_2,1level,32
2727744751_sort.swc,5420,116.557,4,293,588,296,139.68,341.22,51.777,0.544837,1687.06,3266.24,1351.02,258.711,312.766,106,0.925534,8.21599,0.835471,99.7509,88.9785,1.18549,excitatory/spiny neuron with atypical tree,layer_4,layer_4,1level,32
2756960839_sort.swc,3844,216.567,6,166,336,171,158.98,201.468,51.777,0.548952,1247.2,2331.23,610.596,168.41,195.647,43,0.919731,10.4375,0.837768,100.637,89.4065,1.13199,excitatory/spiny neuron with atypical tree,layer_4,layer_4,1level,32
2772043698_sort.swc,17894,108.267,4,628,1260,633,582.82,646.176,126.951,0.5218,5604.14,9549.09,2658.93,616.165,737.036,76,0.926286,13.2008,0.846734,102.075,92.4808,1.18565,excitatory/spiny neuron with atypical tree,layer_3,layer_5,1level,29
27768388911_sort.swc,22478,104.834,5,1556,3119,1564,473.34,521.632,116.259,0.480308,6866.96,10762.8,2540.81,531.621,581.503,178,0.932321,6.20648,0.830505,101.61,95.489,1.24196,excitatory/spiny neuron with atypical tree,layer_2,layer_2,1level,29
27827039927_sort.swc,10719,69.5154,3,809,1623,815,234.98,209.568,118.965,0.482898,3254.29,5154.6,1342.52,206.229,253.957,147,0.932026,5.60382,0.820597,99.1297,95.4691,1.31276,excitatory/spiny neuron with atypical tree,layer_2,layer_2,1level,29
27841189087_sort.swc,18125,165.009,6,1111,2231,1121,614.14,772.772,118.899,0.369039,5567.39,6740.13,1391.65,864.008,995.016,186,0.929867,7.12371,0.803801,101.402,95.8584,1.20126,excitatory/spiny neuron with atypical tree,layer_2,layer_2,1level,29
2785842811_sort.swc,3844,128.37,4,275,553,279,114.85,159.196,107.382,0.441027,1188.34,1804.12,488.603,151.895,179.122,81,0.931357,5.94937,0.833015,99.6517,94.7831,1.21953,excitatory/spiny neuron with atypical tree,layer_4,layer_2,1level,29
2786527903_sort.swc,8780,143.57,5,527,1058,532,335.74,245.06,115.83,0.423088,2719.76,3918.38,840.066,226.985,288.403,107,0.926224,7.29773,0.827374,101.788,93.7292,1.22366,excitatory/spiny neuron with atypical tree,layer_3,layer_4,1level,29
2789755020_sort.swc,23651,76.9769,3,1767,3546,1780,386.24,294.334,174.24,0.35117,7122.29,7907.3,1250.1,300.903,442.969,288,0.932718,5.66949,0.833442,100.241,94.0701,1.3329,excitatory/spiny neuron with atypical tree,layer_3,layer_3,1level,29
2815862747_sort.swc,10996,2.07194,1,592,1186,594,453.41,465.116,84.414,0.58903,3421.43,6566.78,2590.54,466.399,646.444,132,0.924892,8.27066,0.831236,103.33,95.8968,1.25482,excitatory/spiny neuron with atypical tree,layer_4,layer_4,1level,32
2816504707_sort.swc,10513,98.6787,6,322,648,327,400.51,395.488,172.557,0.491215,3324.37,5566.46,1763.04,434.708,505.86,83,0.928422,15.2222,0.80477,100.676,89.4006,1.18443,excitatory/spiny neuron with atypical tree,layer_4,layer_4,1level,29
28248396519_sort.swc,27519,129.037,4,2140,4289,2150,372.71,341.184,119.493,0.46174,8309.46,12445.6,2912.28,272.061,352.045,188,0.934576,5.41595,0.82896,100.733,95.3123,1.31008,excitatory/spiny neuron with atypical tree,layer_2,layer_2,1level,29
28396960832_sort.swc,49045,287.317,5,3508,7033,3526,445.85,522.11,109.131,0.337251,14908.5,15945.9,2436.85,332.837,448.653,226,0.926807,5.97341,0.807135,100.834,95.5466,1.4191,excitatory/spiny neuron with atypical tree,layer_2,layer_2,1level,7
28408495574_sort.swc,8148,30.6949,5,579,1161,583,224.35,274.528,119.592,0.478312,2484.79,3854.99,786.854,280.512,316.601,110,0.935085,6.01723,0.794573,100.338,93.0683,1.21702,excitatory/spiny neuron with atypical tree,layer_3,layer_2,1level,29
