Layer,Boundary,Soma_X,Soma_Y
layer_2,left,2.1203516997618097,0.35792
layer_2,right,2.538895134422835,0.35792
layer_2,left,2.1197236333255693,0.359072
layer_2,right,2.541172097523415,0.359072
layer_2,left,2.119044252339623,0.36032
layer_2,right,2.543630545049416,0.36032
layer_2,left,2.118992037403028,0.360416
layer_2,right,2.543819292276419,0.360416
layer_2,left,2.118852829564658,0.360672
layer_2,right,2.5443223601534304,0.360672
layer_2,left,2.117238061681531,0.363648
layer_2,right,2.5501421131633673,0.363648
layer_2,left,2.1165629156803796,0.364896
layer_2,right,2.5525664198032154,0.364896
layer_2,left,2.116027153859676,0.365888
layer_2,right,2.554486248424097,0.365888
layer_2,left,2.115423243540452,0.367008
layer_2,right,2.556645902434582,0.367008
layer_2,left,2.114184336726727,0.369312
layer_2,right,2.5610611524180555,0.369312
layer_2,left,2.11346387383005,0.370656
layer_2,right,2.5636188383680607,0.370656
layer_2,left,2.1130358444464195,0.371456
layer_2,right,2.5651347384501837,0.371456
layer_2,left,2.112916108286131,0.37168
layer_2,right,2.565558296048133,0.37168
layer_2,left,2.112523041148549,0.372416
layer_2,right,2.5669471830143022,0.372416
layer_2,left,2.1124205916690673,0.372608
layer_2,right,2.567308787186301,0.372608
layer_2,left,2.1118066924455823,0.37376
layer_2,right,2.5694720936811057,0.37376
layer_2,left,2.111381196890972,0.37456
layer_2,right,2.570967902750625,0.37456
layer_2,left,2.110905468276163,0.375456
layer_2,right,2.5726367493299325,0.375456
layer_2,left,2.1108036424079732,0.375648
layer_2,right,2.5729934580946305,0.375648
layer_2,left,2.1107697096644253,0.375712
layer_2,right,2.5731122897036323,0.375712
layer_2,left,2.1106679392087746,0.375904
layer_2,right,2.573468569901196,0.375904
layer_2,left,2.110278209376605,0.37664
layer_2,right,2.574831308237697,0.37664
layer_2,left,2.109872207396272,0.377408
layer_2,right,2.5762481618410895,0.377408
layer_2,left,2.109787711744399,0.377568
layer_2,right,2.5765426726639165,0.377568
layer_2,left,2.109348833899256,0.3784
layer_2,right,2.578070381941449,0.3784
layer_2,left,2.109045495127728,0.378976
layer_2,right,2.579124311882517,0.378976
layer_2,left,2.1090118164874916,0.37904
layer_2,right,2.5792412260256676,0.37904
layer_2,left,2.1085912738876185,0.37984
layer_2,right,2.5806994352480905,0.37984
layer_2,left,2.108574469324294,0.379872
layer_2,right,2.5807576390888136,0.379872
layer_2,left,2.1083561317389052,0.380288
layer_2,right,2.5815134116340874,0.380288
layer_2,left,2.1079201450774483,0.38112
layer_2,right,2.583020037423292,0.38112
layer_2,left,2.107752706887071,0.38144
layer_2,right,2.5835977490598308,0.38144
layer_2,left,2.10773597078273,0.381472
layer_2,right,2.5836554661478504,0.381472
layer_2,left,2.1075519669900418,0.381824
layer_2,right,2.5842897031602092,0.381824
layer_2,left,2.1075018140109214,0.38192
layer_2,right,2.584462469341457,0.38192
layer_2,left,2.1074349634248457,0.382048
layer_2,right,2.5846926855500603,0.382048
layer_2,left,2.1074182543700717,0.38208
layer_2,right,2.5847502148093526,0.38208
layer_2,left,2.1072846339111413,0.382336
layer_2,right,2.5852100913209712,0.382336
layer_2,left,2.107067699423538,0.382752
layer_2,right,2.5859560315812757,0.382752
layer_2,left,2.107017672888601,0.382848
layer_2,right,2.586127932067875,0.382848
layer_2,left,2.1067677409906858,0.383328
layer_2,right,2.5869860827378024,0.383328
layer_2,left,2.1064350267177576,0.383968
layer_2,right,2.5881267669328296,0.383968
layer_2,left,2.1064017889752806,0.384032
layer_2,right,2.5882406135929417,0.384032
layer_2,left,2.106069753964396,0.384672
layer_2,right,2.589376855345937,0.384672
layer_2,left,2.106020002938077,0.384768
layer_2,right,2.5895469421012005,0.384768
layer_2,left,2.1054241199724273,0.38592
layer_2,right,2.5915808463479633,0.38592
layer_2,left,2.1049621358065096,0.386816
layer_2,right,2.593153631620512,0.386816
layer_2,left,2.1048633124784946,0.387008
layer_2,right,2.593489613244082,0.387008
layer_2,left,2.1047974647564542,0.387136
layer_2,right,2.5937133960371344,0.387136
layer_2,left,2.1044522226775575,0.387808
layer_2,right,2.5948855639898443,0.387808
layer_2,left,2.104386550632344,0.387936
layer_2,right,2.5951083211548793,0.387936
layer_2,left,2.1042061001791095,0.388288
layer_2,right,2.595720056823669,0.388288
layer_2,left,2.1040094939534812,0.388672
layer_2,right,2.596385989055862,0.388672
layer_2,left,2.103796799169095,0.389088
layer_2,right,2.5971057494371266,0.389088
layer_2,left,2.103780450809842,0.38912
layer_2,right,2.5971610438883124,0.38912
layer_2,left,2.1023166183658977,0.392
layer_2,right,2.602095780132994,0.392
layer_2,left,2.1019933517114087,0.39264
layer_2,right,2.603181238433272,0.39264
layer_2,left,2.1015259271491376,0.393568
layer_2,right,2.604748020365671,0.393568
layer_2,left,2.1015098366573763,0.3936
layer_2,right,2.60480189742071,0.3936
layer_2,left,2.101429411690289,0.39376
layer_2,right,2.6050711333022822,0.39376
layer_2,left,2.101220520166477,0.394176
layer_2,right,2.605769984019793,0.394176
layer_2,left,2.1011402587886985,0.394336
layer_2,right,2.6060383269361163,0.394336
layer_2,left,2.1009157650034678,0.394784
layer_2,right,2.606788375419719,0.394784
layer_2,left,2.1008837228375756,0.394848
layer_2,right,2.606895367915809,0.394848
layer_2,left,2.1006916166201983,0.395232
layer_2,right,2.607536500977062,0.395232
layer_2,left,2.1005476996680814,0.39552
layer_2,right,2.6080164299883934,0.39552
layer_2,left,2.1003879519294375,0.39584
layer_2,right,2.6085487643416054,0.39584
layer_2,left,2.100164580849478,0.396288
layer_2,right,2.609292416606176,0.396288
layer_2,left,2.1001486378340077,0.39632
layer_2,right,2.609345462891092,0.39632
layer_2,left,2.0998937624809053,0.396832
layer_2,right,2.610192912359841,0.396832
layer_2,left,2.099782377765796,0.397056
layer_2,right,2.61056291199538,0.397056
layer_2,left,2.099718762170982,0.397184
layer_2,right,2.6107741342875213,0.397184
layer_2,left,2.0996710659120343,0.39728
layer_2,right,2.61093245304549,0.39728
layer_2,left,2.0996551700744175,0.397312
layer_2,right,2.610985207349774,0.397312
layer_2,left,2.0995598253126193,0.397504
layer_2,right,2.6113015383315163,0.397504
layer_2,left,2.099528055133233,0.397568
layer_2,right,2.611406907982495,0.397568
layer_2,left,2.0989096092355504,0.398816
layer_2,right,2.613454341175867,0.398816
layer_2,left,2.0988462871280795,0.398944
layer_2,right,2.613663564677999,0.398944
layer_2,left,2.09871969891389,0.3992
layer_2,right,2.6140815904631305,0.3992
layer_2,left,2.098640618354025,0.39936
layer_2,right,2.614342573298212,0.39936
layer_2,left,2.09860899396731,0.399424
layer_2,right,2.6144469057850155,0.399424
layer_2,left,2.0984667387531046,0.399712
layer_2,right,2.6149159758972993,0.399712
layer_2,left,2.09807203962287,0.400512
layer_2,right,2.6162153444018585,0.400512
layer_2,left,2.0980089478973536,0.40064
layer_2,right,2.6164227594171816,0.40064
layer_2,left,2.0979931774972616,0.400672
layer_2,right,2.616474592583601,0.400672
layer_2,left,2.0975205281958256,0.401632
layer_2,right,2.6180258167838626,0.401632
layer_2,left,2.0973474433039896,0.401984
layer_2,right,2.6185928049554823,0.401984
layer_2,left,2.0971587543386354,0.402368
layer_2,right,2.6192102667593096,0.402368
layer_2,left,2.0968759712813805,0.402944
layer_2,right,2.620134406183326,0.402944
layer_2,left,2.0966562313294475,0.403392
layer_2,right,2.620851515436051,0.403392
layer_2,left,2.0966405422591268,0.403424
layer_2,right,2.6209026827055157,0.403424
layer_2,left,2.0963112715479464,0.404096
layer_2,right,2.6219755392781643,0.404096
layer_2,left,2.096185933353642,0.404352
layer_2,right,2.6223834286009673,0.404352
layer_2,left,2.0961702698103615,0.404384
layer_2,right,2.622434383571784,0.404384
layer_2,left,2.0961389451911816,0.404448
layer_2,right,2.6225362728486634,0.404448
layer_2,left,2.0961232841114033,0.40448
layer_2,right,2.622587207178396,0.40448
layer_2,left,2.096029334735778,0.404672
layer_2,right,2.6228926695737522,0.404672
layer_2,left,2.0959354143885895,0.404864
layer_2,right,2.623197887652926,0.404864
layer_2,left,2.095778943880354,0.405184
layer_2,right,2.623706048403234,0.405184
layer_2,left,2.0957320179466423,0.40528
layer_2,right,2.623858367419607,0.40528
layer_2,left,2.095716377511584,0.405312
layer_2,right,2.623909127283113,0.405312
layer_2,left,2.0954193529343614,0.40592
layer_2,right,2.6248723333103436,0.40592
layer_2,left,2.095138204480546,0.406496
layer_2,right,2.6257827363437887,0.406496
layer_2,left,2.0950913685362416,0.406592
layer_2,right,2.6259342758533646,0.406592
layer_2,left,2.0950445387600074,0.406688
layer_2,right,2.6260857607218693,0.406688
layer_2,left,2.094966502678464,0.406848
layer_2,right,2.626338114975443,0.406848
layer_2,left,2.094888483288097,0.407008
layer_2,right,2.626590319895887,0.407008
layer_2,left,2.0948416795487566,0.407104
layer_2,right,2.6267415718054847,0.407104
layer_2,left,2.0948104803075385,0.407168
layer_2,right,2.626842377015004,0.407168
layer_2,left,2.0946389301003805,0.40752
layer_2,right,2.6273963899548494,0.40752
layer_2,left,2.094623338389905,0.407552
layer_2,right,2.6274467202262057,0.407552
layer_2,left,2.0945765669505705,0.407648
layer_2,right,2.6275976768686675,0.407648
layer_2,left,2.094560977693528,0.40768
layer_2,right,2.6276479843999074,0.40768
layer_2,left,2.09452980099917,0.407744
layer_2,right,2.6277485825115807,0.407744
layer_2,left,2.094405118129078,0.408
layer_2,right,2.628150750736333,0.408
layer_2,left,2.094264894432119,0.408288
layer_2,right,2.628602767101607,0.408288
layer_2,left,2.094233739840075,0.408352
layer_2,right,2.6287031552340174,0.408352
layer_2,left,2.0941402893099412,0.408544
layer_2,right,2.629004190518758,0.408544
layer_2,left,2.0940935713681985,0.40864
layer_2,right,2.629154636149841,0.40864
layer_2,left,2.0939845813368647,0.408864
layer_2,right,2.629505491582694,0.408864
layer_2,left,2.0939534459896456,0.408928
layer_2,right,2.6296056890312807,0.408928
layer_2,left,2.093875616467379,0.409088
layer_2,right,2.629856092362577,0.409088
layer_2,left,2.093797799310418,0.409248
layer_2,right,2.630106367962396,0.409248
layer_2,left,2.0937199941751947,0.409408
layer_2,right,2.6303565174044214,0.409408
layer_2,left,2.093579974109986,0.409696
layer_2,right,2.630806473531822,0.409696
layer_2,left,2.093564418569718,0.409728
layer_2,right,2.6308564441444653,0.409728
layer_2,left,2.093533308801447,0.409792
layer_2,right,2.630956370815716,0.409792
layer_2,left,2.0934555419000946,0.409952
layer_2,right,2.631206103192149,0.409952
layer_2,left,2.0933933359192043,0.41008
layer_2,right,2.631405803229199,0.41008
layer_2,left,2.093315587555913,0.41024
layer_2,right,2.631655322296778,0.41024
