Filename,Soma_X,Soma_Y,Soma_Z,LCC_Node_Proportion,C3 agglomeration id,Cell type,Cell body layer, E count all inputs, I count all inputs, E count layer 1, I count layer 1, E count layer 2, I count layer 2, E count layer 3, I count layer 3, E count layer 4, I count layer 4, E count layer 5, I count layer 5, E count layer 6, I count layer 6, E count white matter, I count white matter,Soma_x,Soma_y,Soma_z,new_label
4568390241,3417730.0,1394500.0,90618.0,,4568390241,excitatory/spiny neuron with atypical tree,layer_2,1166,478,220,66,946,412,0,0,0,0,0,0,0,0,0,0,,,,layer_2
33721829307,2187680.0,1997310.0,102696.0,,33721829307,interneuron,layer_5,1707,744,0,0,0,0,0,0,0,0,1707,744,0,0,0,0,,,,layer_5
40421599537,3078980.0,1705860.0,104874.0,,40421599537,interneuron,layer_3,1055,736,0,0,220,102,835,634,0,0,0,0,0,0,0,0,,,,layer_3
41730286931,2717280.0,1800580.0,149127.0,,41730286931,interneuron,layer_3,385,261,0,0,0,0,37,29,328,225,20,7,0,0,0,0,,,,layer_3
50219760454,3396930.0,1764350.0,139755.0,,50219760454,excitatory/spiny neuron with atypical tree,layer_2,444,182,0,0,444,182,0,0,0,0,0,0,0,0,0,0,,,,layer_2
38105500973,2657500.0,936448.0,101508.0,,38105500973,interneuron,layer_3,594,637,0,0,184,176,410,461,0,0,0,0,0,0,0,0,,,,layer_3
1724495114,2006720.0,763680.0,46233.0,,1724495114,pyramidal neuron,layer_3,1862,640,0,0,0,0,1862,640,0,0,0,0,0,0,0,0,,,,layer_3
3181646591,2459070.0,1016420.0,51084.0,,3181646591,interneuron,layer_3,1002,420,0,0,0,0,1002,420,0,0,0,0,0,0,0,0,,,,layer_3
4489268853,1713280.0,1441060.0,19701.0,,4489268853,spiny stellate neuron,layer_5,619,249,0,0,0,0,0,0,0,0,619,249,0,0,0,0,,,,layer_5
30457308962,1343300.0,1249700.0,144375.0,,30457308962,excitatory/spiny neuron with atypical tree,layer_5,706,393,0,0,0,0,0,0,0,0,487,331,219,62,0,0,,,,layer_5
37714181143,2974660.0,965376.0,125829.0,,37714181143,pyramidal neuron,layer_2,957,289,32,10,925,279,0,0,0,0,0,0,0,0,0,0,,,,layer_2
46580374526,3322270.0,884672.0,135465.0,,46580374526,interneuron,layer_1,69,120,69,120,0,0,0,0,0,0,0,0,0,0,0,0,,,,layer_1
41336586144,2446240.0,1738910.0,128634.0,,41336586144,interneuron,layer_4,495,399,0,0,0,0,122,70,286,233,87,96,0,0,0,0,,,,layer_4
30592556564,2090980.0,1560670.0,11055.0,,30592556564,pyramidal neuron,layer_4,550,207,0,0,0,0,185,50,279,131,86,26,0,0,0,0,,,,layer_5
3213593084,3121980.0,1031740.0,28479.0,,3213593084,interneuron,layer_2,327,167,82,26,245,141,0,0,0,0,0,0,0,0,0,0,,,,layer_2
99931624775,3093180.0,941344.0,172755.0,,99931624775,interneuron,layer_2,30,26,0,0,30,26,0,0,0,0,0,0,0,0,0,0,,,,layer_2
20181633724,1735200.0,871072.0,32472.0,,20181633724,interneuron,layer_4,3,5,0,0,0,0,2,2,1,3,0,0,0,0,0,0,,,,layer_4
4822330854,1555040.0,1427490.0,58344.0,,4822330854,pyramidal neuron,layer_6,1428,399,0,0,0,0,116,26,64,13,399,110,849,250,0,0,,,,layer_6
6076659662,1994850.0,1822140.0,47355.0,,6076659662,interneuron,layer_5,1430,824,0,0,0,0,0,0,0,0,1430,824,0,0,0,0,,,,layer_5
