Filename,Soma_X,Soma_Y,Soma_Z,LCC_Node_Proportion,C3 agglomeration id,Cell type,Cell body layer old, E count all inputs, I count all inputs, E count layer 1, I count layer 1, E count layer 2, I count layer 2, E count layer 3, I count layer 3, E count layer 4, I count layer 4, E count layer 5, I count layer 5, E count layer 6, I count layer 6, E count white matter, I count white matter,Soma_x,Soma_y,Soma_z,Cell body layer
4568390241,3417730,1394500,90618,,4568390241,excitatory/spiny neuron with atypical tree,layer_2,1166,478,220,66,946,412,0,0,0,0,0,0,0,0,0,0,,,,layer_2
33721829307,2187680,1997310,102696,,33721829307,interneuron,layer_5,1707,744,0,0,0,0,0,0,0,0,1707,744,0,0,0,0,,,,layer_5
40421599537,3078980,1705860,104874,,40421599537,interneuron,layer_3,1055,736,0,0,220,102,835,634,0,0,0,0,0,0,0,0,,,,layer_3
41730286931,2717280,1800580,149127,,41730286931,interneuron,layer_3,385,261,0,0,0,0,37,29,328,225,20,7,0,0,0,0,,,,layer_3
50219760454,3396930,1764350,139755,,50219760454,excitatory/spiny neuron with atypical tree,layer_2,444,182,0,0,444,182,0,0,0,0,0,0,0,0,0,0,,,,layer_2
38105500973,2657500,936448,101508,,38105500973,interneuron,layer_3,594,637,0,0,184,176,410,461,0,0,0,0,0,0,0,0,,,,layer_3
1724495114,2006720,763680,46233,,1724495114,pyramidal neuron,layer_3,1862,640,0,0,0,0,1862,640,0,0,0,0,0,0,0,0,,,,layer_3
3181646591,2459070,1016420,51084,,3181646591,interneuron,layer_3,1002,420,0,0,0,0,1002,420,0,0,0,0,0,0,0,0,,,,layer_3
4489268853,1713280,1441060,19701,,4489268853,spiny stellate neuron,layer_5,619,249,0,0,0,0,0,0,0,0,619,249,0,0,0,0,,,,layer_5
30457308962,1343300,1249700,144375,,30457308962,excitatory/spiny neuron with atypical tree,layer_5,706,393,0,0,0,0,0,0,0,0,487,331,219,62,0,0,,,,layer_5
37714181143,2974660,965376,125829,,37714181143,pyramidal neuron,layer_2,957,289,32,10,925,279,0,0,0,0,0,0,0,0,0,0,,,,layer_2
46580374526,3322270,884672,135465,,46580374526,interneuron,layer_1,69,120,69,120,0,0,0,0,0,0,0,0,0,0,0,0,,,,layer_1
41336586144,2446240,1738910,128634,,41336586144,interneuron,layer_4,495,399,0,0,0,0,122,70,286,233,87,96,0,0,0,0,,,,layer_4
30592556564,2090980,1560670,11055,,30592556564,pyramidal neuron,layer_4,550,207,0,0,0,0,185,50,279,131,86,26,0,0,0,0,,,,layer_5
3213593084,3121980,1031740,28479,,3213593084,interneuron,layer_2,327,167,82,26,245,141,0,0,0,0,0,0,0,0,0,0,,,,layer_2
99931624775,3093180,941344,172755,,99931624775,interneuron,layer_2,30,26,0,0,30,26,0,0,0,0,0,0,0,0,0,0,,,,layer_2
20181633724,1735200,871072,32472,,20181633724,interneuron,layer_4,3,5,0,0,0,0,2,2,1,3,0,0,0,0,0,0,,,,layer_4
4822330854,1555040,1427490,58344,,4822330854,pyramidal neuron,layer_6,1428,399,0,0,0,0,116,26,64,13,399,110,849,250,0,0,,,,layer_6
6076659662,1994850,1822140,47355,,6076659662,interneuron,layer_5,1430,824,0,0,0,0,0,0,0,0,1430,824,0,0,0,0,,,,layer_5
31888411203,2395650,1524800,170049,,31888411203,excitatory/spiny neuron with atypical tree,layer_4,370,155,0,0,0,0,0,0,370,155,0,0,0,0,0,0,,,,layer_4
40583349428,3417470,1516480,87813,,40583349428,interneuron,layer_2,54,44,0,0,54,44,0,0,0,0,0,0,0,0,0,0,,,,layer_2
51744295762,2368510,2083520,115929,,51744295762,interneuron,layer_5,79,43,0,0,0,0,0,0,0,0,79,43,0,0,0,0,,,,layer_5
1449515617,2456030,578752,47982,,1449515617,interneuron,layer_2,171,167,0,0,113,147,58,20,0,0,0,0,0,0,0,0,,,,layer_2
