Feature,Group,Category,Mean,Std,Min,Max,Median
Stems,Cell type,excitatory/spiny neuron with atypical tree,4.268727705112961,1.705477010023767,1.0,21.0,4.0
Stems,Cell type,interneuron,4.391211473909063,1.6244156355550112,1.0,15.0,4.0
Stems,Cell type,pyramidal neuron,4.817316274918179,1.7231224786897503,1.0,21.0,5.0
Stems,Cell type,spiny stellate neuron,4.64748201438849,1.6412407349430775,2.0,10.0,4.0
Stems,Cell type,unclassified neuron,4.438661710037175,1.5861314975972824,1.0,12.0,4.0
SomaSurface,Cell type,excitatory/spiny neuron with atypical tree,152.73274311652796,115.62773320693914,0.959581,1032.04,128.031
SomaSurface,Cell type,interneuron,119.12455278608482,70.14752960146691,1.13605,808.806,106.807
SomaSurface,Cell type,pyramidal neuron,203.95782467145193,137.95527757470416,0.012868,2394.39,172.144
SomaSurface,Cell type,spiny stellate neuron,249.53653705035973,136.62104848007874,2.51862,802.152,221.687
SomaSurface,Cell type,unclassified neuron,162.09340713754645,125.27662476204301,2.09768,866.757,135.4
Length,Cell type,excitatory/spiny neuron with atypical tree,5105.92596432818,3887.4920312840027,449.354,34561.5,4122.73
Length,Cell type,interneuron,1528.0918761061946,1489.1373991887892,108.411,35498.2,1181.4
Length,Cell type,pyramidal neuron,8401.638082148169,5978.1045742639835,79.5132,36327.8,6617.3099999999995
Length,Cell type,spiny stellate neuron,8407.997223021583,4012.866254837514,442.984,29439.2,7631.11
Length,Cell type,unclassified neuron,3065.5856059479556,3770.6418967678464,113.74,47863.4,2157.58
OverallDepth,Cell type,excitatory/spiny neuron with atypical tree,120.13043757431629,42.49758593814718,6.831,174.57,115.83
OverallDepth,Cell type,interneuron,82.51067439731462,37.090532443617356,3.993,174.57,77.286
OverallDepth,Cell type,pyramidal neuron,128.04746206486166,41.05025896003265,4.389,174.603,119.559
OverallDepth,Cell type,spiny stellate neuron,151.57446043165467,29.250767100870448,24.849,174.537,173.811
OverallDepth,Cell type,unclassified neuron,108.81314498141265,52.03726135153261,10.659,174.504,112.728
OverallHeight,Cell type,excitatory/spiny neuron with atypical tree,349.3338856123662,166.19694338378238,39.7458,1232.77,326.15
OverallHeight,Cell type,interneuron,203.78516536466282,121.85818270643519,10.112,1161.41,177.248
OverallHeight,Cell type,pyramidal neuron,478.06551733115145,198.11551744245986,18.5,1437.44,457.18499999999995
OverallHeight,Cell type,spiny stellate neuron,419.79149640287767,130.62298000415103,153.41,1007.14,411.65
OverallHeight,Cell type,unclassified neuron,274.38889814126395,161.0943138223217,16.992,947.998,261.41
OverallWidth,Cell type,excitatory/spiny neuron with atypical tree,353.8561089179548,224.56568955630024,55.6499,1730.68,301.25
OverallWidth,Cell type,interneuron,216.36334339334758,141.3662660201915,15.2,1022.69,180.61
OverallWidth,Cell type,pyramidal neuron,508.5605188336804,258.5338901203625,22.75,2011.27,466.975
OverallWidth,Cell type,spiny stellate neuron,411.7888489208633,180.49740567584035,56.0,1449.09,377.6
OverallWidth,Cell type,unclassified neuron,291.4282464684015,189.17640299588808,16.1599,1172.42,259.07
Volume,Cell type,excitatory/spiny neuron with atypical tree,2439.3326777645657,2008.7568195366687,166.119,13784.5,1829.02
Volume,Cell type,interneuron,778.6134334147085,657.4668597308722,62.2069,9687.06,609.117
Volume,Cell type,pyramidal neuron,3524.1859220470096,2553.578567240413,262.367,30172.1,2784.805
Volume,Cell type,spiny stellate neuron,4373.728417266187,2017.8289084498067,1021.19,12095.7,4235.59
Volume,Cell type,unclassified neuron,2086.414995167286,1628.5677261208914,63.4819,11993.1,1734.32
HausdorffDimension,Cell type,excitatory/spiny neuron with atypical tree,1.251049013079667,0.08379413947487242,1.09148,1.79483,1.2372
HausdorffDimension,Cell type,interneuron,1.1368256811107722,0.06891346837657031,0.984778,1.72272,1.12535
HausdorffDimension,Cell type,pyramidal neuron,1.2726141282356442,0.08181635575645446,1.02051,1.56022,1.2690299999999999
HausdorffDimension,Cell type,spiny stellate neuron,1.2621405755395685,0.06494532178229229,1.13217,1.49701,1.24737
HausdorffDimension,Cell type,unclassified neuron,1.1922364572490707,0.07910531451222134,0.945837,1.72159,1.18652
AverageBifurcationAngleLocal,Cell type,excitatory/spiny neuron with atypical tree,101.83982152199762,1.7083347673212752,97.498,114.127,101.548
AverageBifurcationAngleLocal,Cell type,interneuron,105.19149633811413,4.324816046136183,88.435,134.094,104.717
AverageBifurcationAngleLocal,Cell type,pyramidal neuron,101.59609085093722,1.671536682259172,85.6711,146.258,101.291
AverageBifurcationAngleLocal,Cell type,spiny stellate neuron,101.85085971223022,1.1841376563705346,99.1605,109.137,101.715
AverageBifurcationAngleLocal,Cell type,unclassified neuron,103.66635018587361,2.9035037892048945,92.3631,112.754,103.308
AverageDiameter,Cell type,excitatory/spiny neuron with atypical tree,0.48859882401902494,0.098451943610104,0.290407,1.01409,0.474414
AverageDiameter,Cell type,interneuron,0.4971326875190723,0.13381606247890335,0.229551,1.51332,0.473814
AverageDiameter,Cell type,pyramidal neuron,0.4769622354953883,0.10119462311159402,0.296305,2.22406,0.455266
AverageDiameter,Cell type,spiny stellate neuron,0.5093900431654677,0.10150941470028889,0.2983,1.47404,0.506479
AverageDiameter,Cell type,unclassified neuron,0.6038059182156134,0.1574318742398277,0.315068,1.17913,0.564902
AverageBifurcationAngleRemote,Cell type,excitatory/spiny neuron with atypical tree,94.74881938168846,1.758855865163916,87.9545,104.419,94.834
AverageBifurcationAngleRemote,Cell type,interneuron,93.54486191638695,5.09376367511312,65.8725,126.485,93.7288
AverageBifurcationAngleRemote,Cell type,pyramidal neuron,94.75938417137756,1.6247342088018457,73.9407,133.93,94.91095
AverageBifurcationAngleRemote,Cell type,spiny stellate neuron,94.87828273381295,1.2515606407125819,91.4321,100.149,94.9106
AverageBifurcationAngleRemote,Cell type,unclassified neuron,94.57630223048328,3.609230351617884,74.5121,104.384,94.9912
