Feature,Group,Category,Mean,Std,Min,Max,Median
Stems,predict_layer,layer_1,4.791970802919708,1.9359168690020068,1.0,15.0,4.0
Stems,predict_layer,layer_2,4.63551151580075,1.699413804561254,1.0,20.0,4.0
Stems,predict_layer,layer_3,4.793712316968131,1.7421193518824252,1.0,14.0,5.0
Stems,predict_layer,layer_4,4.519669742593492,1.609609350777776,1.0,21.0,4.0
Stems,predict_layer,layer_5,4.627372052903968,1.7397632687990827,1.0,18.0,4.0
Stems,predict_layer,layer_6,4.603072983354673,1.7182850069704456,1.0,21.0,4.0
Stems,predict_layer,white_matter,4.427728613569322,1.5181148297117297,1.0,12.0,4.0
SomaSurface,predict_layer,layer_1,92.24964722627738,42.839820062384625,1.51922,370.502,89.39505
SomaSurface,predict_layer,layer_2,147.9366460581146,100.01261362796481,0.959581,996.317,128.3365
SomaSurface,predict_layer,layer_3,190.35416085284237,137.25467871565934,0.012868,1146.44,153.382
SomaSurface,predict_layer,layer_4,159.4603995847499,104.18396255337248,0.012868,1134.72,141.088
SomaSurface,predict_layer,layer_5,211.03661215997698,153.2645511121213,0.0676062,2394.39,175.738
SomaSurface,predict_layer,layer_6,233.64914487836106,153.1913093591556,1.30048,1022.09,199.331
SomaSurface,predict_layer,white_matter,208.36809554572272,123.24923137987493,6.03499,1032.04,190.056
Length,predict_layer,layer_1,917.9603503649635,662.8961593234507,116.96,4517.56,744.8365
Length,predict_layer,layer_2,6005.419444617032,5903.257973630369,79.5132,47863.4,3925.7349999999997
Length,predict_layer,layer_3,8531.776448751078,7605.355808266534,119.091,36327.8,6107.435
Length,predict_layer,layer_4,4273.970802331229,2970.535567509654,171.226,22898.5,3802.91
Length,predict_layer,layer_5,5133.088873490512,4293.501201171407,162.56,32814.1,3973.17
Length,predict_layer,layer_6,7650.131487836107,5378.092190262743,216.478,30942.4,7002.51
Length,predict_layer,white_matter,4669.509625368732,3822.211418114142,108.411,20452.6,3805.61
OverallDepth,predict_layer,layer_1,52.256945255474456,18.59154432481626,6.831,108.702,50.2095
OverallDepth,predict_layer,layer_2,94.94597562935189,42.2869488659419,5.577,174.504,91.476
OverallDepth,predict_layer,layer_3,123.63202713178293,44.37834785398828,4.389,174.603,116.985
OverallDepth,predict_layer,layer_4,120.94927926177756,39.492015195915435,12.606,174.603,115.83
OverallDepth,predict_layer,layer_5,133.2503565267395,40.63525595950738,13.002,174.57,123.519
OverallDepth,predict_layer,layer_6,135.78261971830986,39.56475990620907,7.293,174.537,124.311
OverallDepth,predict_layer,white_matter,117.31091150442477,43.15020774286609,3.993,174.504,115.302
OverallHeight,predict_layer,layer_1,124.62678321167883,65.20184871035876,10.112,591.298,113.68
OverallHeight,predict_layer,layer_2,337.39637996786286,178.08368642525306,16.992,1290.01,314.959
OverallHeight,predict_layer,layer_3,449.3629678725237,232.11958732497737,33.6599,1213.22,438.08000000000004
OverallHeight,predict_layer,layer_4,397.3993204953861,190.60329001105214,18.5,1253.57,390.72
OverallHeight,predict_layer,layer_5,401.0508175963197,222.20923614684,10.37,1145.85,376.87
OverallHeight,predict_layer,layer_6,455.67894763124195,252.36755966798756,30.98,1437.44,415.59
OverallHeight,predict_layer,white_matter,290.110207079646,218.1139406985189,19.36,1191.2,244.03
OverallWidth,predict_layer,layer_1,97.09448649635036,51.87201330009331,17.3501,291.71,86.78505
OverallWidth,predict_layer,layer_2,300.9310538564542,173.48136070046138,16.1599,1586.5,270.96500000000003
OverallWidth,predict_layer,layer_3,459.95493410852714,245.18798104638478,28.7002,1466.95,442.73
OverallWidth,predict_layer,layer_4,440.9219088878096,227.58925558502995,15.2,1757.12,417.37
OverallWidth,predict_layer,layer_5,489.35529856239214,303.5371864553784,19.554,1730.68,415.36
OverallWidth,predict_layer,layer_6,541.0363069142126,352.91761384819375,25.03,1864.13,446.81
OverallWidth,predict_layer,white_matter,475.22149882005897,362.622201534961,18.784,2011.27,393.34
Volume,predict_layer,layer_1,468.90050072992705,232.75753516346018,62.2069,1550.62,428.5235
Volume,predict_layer,layer_2,1927.5745487412962,1812.7596699437372,63.4819,11683.9,1213.87
Volume,predict_layer,layer_3,3300.424606847545,2789.0333042176885,81.7417,13939.4,2442.255
Volume,predict_layer,layer_4,1817.379997425935,1422.8589943317354,66.1208,14155.0,1486.36
Volume,predict_layer,layer_5,3399.043489936745,2971.953351001861,102.279,30172.1,2584.88
Volume,predict_layer,layer_6,4723.953674775928,2703.479543997941,200.462,12190.9,4616.23
Volume,predict_layer,white_matter,3332.769179941003,1994.0456830860912,179.756,9019.97,3225.35
HausdorffDimension,predict_layer,layer_1,1.1620965182481753,0.08682296106045641,0.997986,1.55195,1.1477249999999999
HausdorffDimension,predict_layer,layer_2,1.2647575388323515,0.11289061927574585,1.00178,1.79483,1.279785
HausdorffDimension,predict_layer,layer_3,1.2435407571059431,0.10399371099889358,0.984778,1.5084,1.2626249999999999
HausdorffDimension,predict_layer,layer_4,1.1923479392909178,0.06247200287885377,0.945837,1.42734,1.19671
HausdorffDimension,predict_layer,layer_5,1.1860838182863715,0.07280388670819449,1.01906,1.46656,1.18354
HausdorffDimension,predict_layer,layer_6,1.2402736363636364,0.07204132456420462,1.00539,1.4638,1.24541
HausdorffDimension,predict_layer,white_matter,1.2193294483775812,0.06968443922905748,0.998413,1.40772,1.22031
AverageBifurcationAngleLocal,predict_layer,layer_1,105.1878394160584,4.254144476560673,91.5847,118.808,104.7925
AverageBifurcationAngleLocal,predict_layer,layer_2,102.42757699517944,3.292852955891321,91.4322,146.258,101.34100000000001
AverageBifurcationAngleLocal,predict_layer,layer_3,102.51741606373815,3.2716082275807823,88.435,118.659,101.2825
AverageBifurcationAngleLocal,predict_layer,layer_4,102.45995405536668,2.5952535302143915,85.6711,125.325,101.904
AverageBifurcationAngleLocal,predict_layer,layer_5,103.47567567567569,3.2829059236460596,90.5994,127.346,102.593
AverageBifurcationAngleLocal,predict_layer,layer_6,102.4566518565941,2.46208661019256,98.8722,119.578,101.797
AverageBifurcationAngleLocal,predict_layer,white_matter,103.4598604719764,3.184103048304167,92.3631,134.094,102.765
AverageDiameter,predict_layer,layer_1,0.4574487116788321,0.11074689064435514,0.26392,0.958734,0.4360515
AverageDiameter,predict_layer,layer_2,0.4367428789501875,0.09226000277472805,0.229551,1.30377,0.4163215
AverageDiameter,predict_layer,layer_3,0.4698862950043066,0.10609060198092521,0.231929,2.22406,0.4496255
AverageDiameter,predict_layer,layer_4,0.48293213598834384,0.08818021625089371,0.273619,1.60377,0.464365
AverageDiameter,predict_layer,layer_5,0.5627142277170788,0.1124324396890787,0.243625,1.51332,0.549025
AverageDiameter,predict_layer,layer_6,0.5657909731113956,0.10188947634334505,0.26075,1.4271,0.548758
AverageDiameter,predict_layer,white_matter,0.6412085221238938,0.1525843134383073,0.333851,1.31418,0.592734
AverageBifurcationAngleRemote,predict_layer,layer_1,95.18240766423358,5.110049291610433,74.8862,110.221,95.36415
AverageBifurcationAngleRemote,predict_layer,layer_2,94.8497136582753,3.2454651911911703,65.8725,133.93,95.16714999999999
AverageBifurcationAngleRemote,predict_layer,layer_3,94.5059816968131,3.0002838106605765,76.355,109.253,94.96405
AverageBifurcationAngleRemote,predict_layer,layer_4,93.74423322000972,2.8172168281611665,69.5556,109.028,94.1569
AverageBifurcationAngleRemote,predict_layer,layer_5,93.69396866014952,3.295250734638001,70.2095,126.485,93.8912
AverageBifurcationAngleRemote,predict_layer,layer_6,94.74469487836107,2.151240135888084,77.8544,104.235,94.9585
