Feature,Level,Mean,Std,Min,Max,Median
Stems,1level,4.522463496817672,1.5536829778956205,1.0,20.0,4.0
SomaSurface,1level,165.05867778313365,107.96056171884261,0.012868,1117.45,139.659
Length,1level,4778.083398352677,4434.446455344819,225.868,31914.7,3424.515
OverallDepth,1level,107.43716473231001,40.705226213508276,3.993,174.57,112.662
OverallHeight,1level,363.7347844814676,196.12496452807787,19.36,1290.01,338.38300000000004
OverallWidth,1level,380.0347196368401,234.9564008386396,15.2,2011.27,337.635
Volume,1level,1954.5814646012727,1804.5157414446737,82.851,15925.3,1349.19
HausdorffDimension,1level,1.2059904848371394,0.09131496551634007,1.00178,1.53723,1.201195
AverageBifurcationAngleLocal,1level,102.84092809809061,3.3004074541127237,90.5994,125.325,101.87049999999999
AverageDiameter,1level,0.47164698727068516,0.09784099104875685,0.243625,1.3039,0.451717
AverageBifurcationAngleRemote,1level,93.97397648820666,3.403494869444811,65.8725,126.485,94.58484999999999
