UMAP1,UMAP2
3.3366394,3.8524365
4.679616,4.731138
1.0829741,4.0910177
0.70179194,3.9569886
3.3593493,5.3843927
4.63393,4.2368593
0.3599613,4.4254136
2.9866707,4.4707136
3.0951042,5.5580187
3.8422449,4.6475997
4.1852593,5.528848
4.457908,4.5502725
4.7866454,5.896709
3.1772716,6.1869855
2.391456,4.2762704
2.4401271,5.7799573
4.087849,4.965796
0.5700387,4.5190716
4.4339056,6.2290955
3.508538,6.4833736
1.8256658,5.5928855
3.7731767,5.406963
0.7930498,4.807036
4.9630146,5.102435
0.3913037,4.0340333
3.6850388,5.982071
3.250759,4.3214374
3.6189668,3.9957502
0.07520563,3.7032008
3.897287,6.1982293
4.6043873,5.62852
1.9630784,5.1863017
3.3987637,4.430984
0.80925184,3.6814587
-0.15258637,4.1416736
4.0819664,3.9851804
2.7867444,3.8907201
1.4608147,4.658781
4.9303803,5.6773696
2.4906867,4.7419004
1.984914,4.6557302
1.4557186,5.0567975
0.46039948,3.38203
0.13910745,4.758898
-0.2020996,4.476066
0.9955146,3.3628132
