UMAP1,UMAP2,label
9.899409,12.837473,interneuron
8.785808,10.95618,interneuron
9.664827,13.902941,interneuron
8.7261095,10.223516,interneuron
10.348923,9.077165,interneuron
9.535939,12.152019,interneuron
-1.8996719,9.098573,interneuron
9.0060005,13.932052,interneuron
8.681815,12.267012,interneuron
8.679549,12.367286,interneuron
9.4506035,11.824803,interneuron
8.787674,14.195107,interneuron
8.686871,12.213492,interneuron
9.567327,11.388521,interneuron
9.463835,11.5036745,interneuron
9.096005,11.177255,interneuron
8.726294,11.211766,interneuron
11.578009,11.829254,interneuron
10.558279,11.6335745,interneuron
-1.9299674,9.168488,interneuron
9.406568,10.247412,interneuron
9.771103,12.463973,interneuron
8.101002,10.653058,interneuron
9.117349,11.061181,interneuron
9.988031,13.793929,interneuron
9.822365,10.759955,interneuron
9.780716,13.444064,interneuron
11.132196,12.188856,interneuron
8.947641,12.397726,interneuron
-1.7733668,8.967512,interneuron
9.663353,12.946083,interneuron
8.997363,11.3350115,interneuron
11.7041025,10.500141,interneuron
10.923031,10.9209585,interneuron
10.997237,12.526123,interneuron
8.545023,10.486946,interneuron
11.474551,11.449653,interneuron
10.75887,10.524775,interneuron
9.861229,13.308378,interneuron
9.902806,9.852662,interneuron
9.521233,12.836497,interneuron
9.010853,14.018467,interneuron
10.511928,11.744414,interneuron
8.911686,10.910908,interneuron
9.586763,12.299939,interneuron
11.324232,11.467221,interneuron
9.587383,11.112756,interneuron
9.278333,11.269693,interneuron
-2.0092905,9.336528,interneuron
8.36797,9.788067,interneuron
8.966062,13.36659,interneuron
11.248305,9.254046,interneuron
9.05057,11.529603,interneuron
10.983083,12.629423,interneuron
10.4288,4.2823434,interneuron
10.679022,10.357183,interneuron
-1.9474823,9.3448925,interneuron
8.303215,10.185367,interneuron
9.356371,12.786295,interneuron
11.130444,9.750958,interneuron
8.640111,9.9729395,interneuron
9.958299,11.161597,interneuron
8.433519,11.59609,interneuron
10.695058,12.632589,interneuron
-2.0012395,9.129147,interneuron
8.037699,11.493193,interneuron
8.643611,9.866464,interneuron
10.408036,10.196475,interneuron
7.977389,10.187429,interneuron
11.694413,11.40649,interneuron
8.238664,11.239751,interneuron
9.667238,12.820252,interneuron
12.249317,9.9823265,interneuron
-1.7809194,8.989079,interneuron
9.453837,12.020394,interneuron
10.033016,13.72684,interneuron
8.984751,11.945168,interneuron
10.763278,11.45345,interneuron
9.241887,11.837296,interneuron
9.065453,11.734268,interneuron
12.285947,6.6638713,interneuron
10.217508,10.025113,interneuron
8.505988,10.679928,interneuron
9.70281,11.205354,interneuron
10.488999,9.321882,interneuron
8.639412,11.291358,interneuron
9.727421,9.500848,interneuron
11.578443,11.250093,interneuron
10.873187,12.021214,interneuron
9.405367,14.670856,interneuron
9.552556,9.849907,interneuron
-1.9787983,9.3774,interneuron
9.6994,13.803344,interneuron
8.508094,13.657165,interneuron
9.675616,11.68492,interneuron
13.160805,3.7994685,interneuron
8.629965,11.506923,interneuron
8.437482,11.688576,interneuron
8.055988,11.621617,interneuron
8.854732,11.032553,interneuron
10.566298,12.373969,interneuron
9.830602,11.462395,interneuron
9.24827,10.498135,interneuron
11.1641,11.80419,interneuron
10.0817585,13.031358,interneuron
10.04157,10.519001,interneuron
9.424834,14.512028,interneuron
9.335389,13.53561,interneuron
11.542252,11.466364,interneuron
9.711478,12.328551,interneuron
9.164147,11.163642,interneuron
8.593401,10.48927,interneuron
12.073578,10.869389,interneuron
8.536287,11.014148,interneuron
10.952659,11.9067335,interneuron
9.623002,13.149361,interneuron
9.235547,11.689599,interneuron
-1.9435949,9.303085,interneuron
10.108044,12.905918,interneuron
10.177647,11.22604,interneuron
11.462379,11.028835,interneuron
8.838806,11.861923,interneuron
9.109052,14.176656,interneuron
10.411137,10.163392,interneuron
9.534696,10.58212,interneuron
10.838383,11.195283,interneuron
9.6725025,13.142532,interneuron
-1.9937506,9.1814,interneuron
9.619987,10.412703,interneuron
10.783675,11.290524,interneuron
-2.047684,9.1453905,interneuron
11.111525,7.544915,interneuron
10.049427,10.809634,interneuron
9.22826,10.948942,interneuron
11.32651,11.086615,interneuron
9.38064,12.005905,interneuron
8.632882,10.6427,interneuron
11.046441,10.1906,interneuron
10.835603,11.266247,interneuron
9.2430725,9.775441,interneuron
10.460882,8.894493,interneuron
9.955562,11.819741,interneuron
9.683189,11.052237,interneuron
10.519988,12.216891,interneuron
12.102647,9.942889,interneuron
10.6658745,11.768682,interneuron
8.606837,9.950416,interneuron
-1.9683522,9.187569,interneuron
8.768554,13.574184,interneuron
9.303813,10.02477,interneuron
9.768216,13.735891,interneuron
9.681205,10.393541,interneuron
