Name,Nodes,SomaSurface,Stems,Bifurcations,Branches,Tips,OverallWidth,OverallHeight,OverallDepth,AverageDiameter,Length,Surface,Volume,MaxEuclideanDistance,MaxPathDistance,MaxBranchOrder,AverageContraction,AverageFragmentation,AverageParent-daughterRatio,AverageBifurcationAngleLocal,AverageBifurcationAngleRemote,HausdorffDimension,cell_type,Normalized_Name
6357377650_reconnect.swc,6358,244431000.0,3,104,209,106,406020.0,167646.0,161073,499.021,2023340.0,3346030000.0,1879660000000.0,252602.0,321069.0,16,0.931731,29.4163,0.996566,114.6,97.9217,1.3534,,6357377650
30447043575_reconnect.swc,20949,163362000.0,3,918,1838,921,330180.0,357730.0,121572,425.336,6513770.0,8889500000.0,2585540000000.0,252271.0,634827.0,143,0.927944,10.3972,0.789902,102.179,95.1652,1.71988,,30447043575
6516485487_reconnect.swc,21044,155486000.0,3,1273,2548,1276,552480.0,267136.0,171237,485.049,6448320.0,10017400000.0,3308670000000.0,399482.0,484293.0,212,0.921219,7.25863,0.836718,102.187,94.4398,1.70265,,6516485487
29736486913_reconnect.swc,26861,120537000.0,3,2130,4267,2138,445316.0,485182.0,114972,387.789,8067520.0,9998570000.0,2063070000000.0,313497.0,429279.0,255,0.930867,5.29482,0.806309,99.8911,94.6563,1.78816,,29736486913
5158051474_reconnect.swc,71378,164934000.0,3,5245,10513,5269,699460.0,572830.0,174108,471.415,21616900.0,32599200000.0,9598500000000.0,495140.0,807008.0,395,0.924676,5.7894,0.835713,101.281,95.7462,1.91142,,5158051474
3484996936_reconnect.swc,14002,147116000.0,3,686,1373,688,295710.0,230844.0,173580,447.992,4343240.0,6345840000.0,1830740000000.0,184088.0,281990.0,75,0.926657,9.19738,0.803675,101.604,95.3911,1.60841,,3484996936
6336149626_reconnect.swc,17058,219633000.0,3,1016,2035,1020,396290.0,277790.0,174042,625.454,5273670.0,10780800000.0,4776060000000.0,270384.0,339830.0,96,0.920183,7.38182,0.83376,103.293,95.889,1.65036,,6336149626
6149503191_reconnect.swc,53260,103467000.0,3,3857,7723,3867,1372090.0,771070.0,174042,531.822,16187700.0,27512100000.0,7284530000000.0,1283220.0,1505500.0,857,0.930577,5.89615,0.852227,100.016,94.2851,1.80302,,6149503191
5214645213_reconnect.swc,24630,511373000.0,3,1487,2979,1493,520860.0,458882.0,171996,679.758,7627200.0,17093000000.0,9951330000000.0,452441.0,522362.0,184,0.932399,7.26754,0.841621,100.219,94.1506,1.57273,,5214645213
2453275833_reconnect.swc,3482,18042500.0,3,111,223,113,99710.0,161248.0,103686,653.023,1097060.0,2251770000.0,640474000000.0,149098.0,267291.0,38,0.90929,14.6099,0.923609,112.858,104.527,1.3391,,2453275833
3561213164_reconnect.swc,48467,46730900.0,3,3865,7751,3887,747680.0,761890.0,174339,422.48,14556300.0,19338900000.0,3446380000000.0,624842.0,767084.0,518,0.934492,5.25287,0.831416,100.668,94.8146,1.77125,,3561213164
