Name,Nodes,SomaSurface,Stems,Bifurcations,Branches,Tips,OverallWidth,OverallHeight,OverallDepth,AverageDiameter,Length,Surface,Volume,MaxEuclideanDistance,MaxPathDistance,MaxBranchOrder,AverageContraction,AverageFragmentation,AverageParent-daughterRatio,AverageBifurcationAngleLocal,AverageBifurcationAngleRemote,HausdorffDimension,Normalized_Name
10475824258_sort.swc,60250,120562000.0,2,4977,9979,5003,297090,446304,149622,393.916,18195100,22421200000,4324710000000.0,232229.0,419524.0,253,0.922187,5.03758,0.825005,101.586,95.6553,1.83986,10475824258
1146063092_sort.swc,6820,105661000.0,3,469,939,471,239880,292928,54549,432.855,2098250,3127110000,880373000000.0,258198.0,375832.0,169,0.927982,6.26198,0.789499,101.957,94.578,1.36556,1146063092
1436782663_sort.swc,15358,56853500.0,3,1218,2444,1227,196670,336736,174372,382.541,4633420,5712890000,1120710000000.0,309844.0,402094.0,228,0.933178,5.28355,0.821014,99.9059,95.3531,1.62068,1436782663
15289875663_sort.swc,25728,276906000.0,5,1450,2904,1455,519070,374750,174042,477.461,7962040,12617900000,3291680000000.0,303079.0,381587.0,110,0.925102,7.85916,0.821778,101.475,93.2595,1.74246,15289875663
15566039754_sort.swc,27935,341307000.0,7,1894,3797,1904,678400,330340,157905,553.407,8570560,15771200000,5189000000000.0,393099.0,583549.0,251,0.926694,6.35686,0.839397,101.718,94.5782,1.57061,15566039754
15654740825_sort.swc,53474,208756000.0,5,3503,7018,3516,798310,535710,122100,532.819,16361400,28462900000,9941090000000.0,417730.0,653039.0,231,0.929211,6.61941,0.841871,100.924,94.2227,1.95787,15654740825
15915938175_sort.swc,8685,29009300.0,4,512,1027,516,194750,230310,151437,541.08,2685250,4651890000,1087180000000.0,247805.0,391453.0,100,0.92116,7.4557,0.834701,98.4448,93.9708,1.34224,15915938175
1800566150_sort.swc,18329,225233000.0,5,1177,2359,1183,282940,531776,174174,414.545,5624600,7537440000,1234870000000.0,338564.0,407568.0,112,0.925771,6.76939,0.792929,100.832,92.2693,1.6486,1800566150
1932926188_sort.swc,7160,107523000.0,5,524,1053,530,299040,217920,54747,415.441,2201790,3100980000,930265000000.0,255256.0,328310.0,170,0.926598,5.79867,0.808165,103.715,97.5962,1.47472,1932926188
1990103194_sort.swc,19521,202840000.0,5,1171,2346,1176,395430,360256,161667,396.672,6003460,7865760000,1825260000000.0,296306.0,438377.0,188,0.927074,7.32055,0.800184,101.562,94.5804,1.658,1990103194
2034430344_sort.swc,2841,62502000.0,3,120,241,122,153500,214530,107085,569.063,897611,1768730000,653267000000.0,228124.0,292348.0,51,0.924384,10.7842,0.836077,97.6276,90.6025,1.32403,2034430344
2044476393_sort.swc,7564,75139300.0,4,593,1191,599,189310,211136,58014,575.966,2312120,4528980000,1845530000000.0,198093.0,230264.0,138,0.927957,5.35013,0.848707,102.265,96.0756,1.49655,2044476393
2120664722_sort.swc,53317,139346000.0,3,4333,8682,4350,378940,480608,174207,412.182,16121100,21072800000,4760100000000.0,346336.0,667101.0,337,0.926645,5.14098,0.813978,100.988,95.1139,1.95021,2120664722
2149691670_sort.swc,19073,108988000.0,3,1448,2904,1457,216960,378912,174042,450.19,5828920,8488870000,2374060000000.0,273263.0,314992.0,117,0.923102,5.56749,0.794045,100.482,94.268,1.65909,2149691670
2165577027_sort.swc,9256,78834100.0,3,712,1427,716,315200,235584,54681,451.045,2799390,4191670000,1375600000000.0,209759.0,299068.0,204,0.934787,5.48563,0.838587,101.885,97.2858,1.46358,2165577027
2296286050_sort.swc,15780,127740000.0,4,1253,2513,1261,385340,250722,146718,389.704,4759520,5968710000,1114470000000.0,338003.0,439866.0,316,0.931335,5.27895,0.838046,101.62,94.9589,1.6557,2296286050
2339168813_sort.swc,44198,166119000.0,5,3861,7748,3888,337250,563458,162822,376.385,13238100,16065700000,3541880000000.0,408636.0,504087.0,353,0.929288,4.70431,0.825903,99.6272,95.2007,1.76389,2339168813
2646330667_sort.swc,7842,31219200.0,5,625,1255,631,138820,219614,54516,447.84,2363110,3422560000,770819000000.0,210191.0,271249.0,167,0.929662,5.24781,0.847576,101.625,96.4683,1.3885,2646330667
2727744751_sort.swc,5420,116557000.0,4,293,588,296,139680,341220,51777,544.837,1687060,3266230000,1351020000000.0,258711.0,312766.0,106,0.925535,8.21599,0.835471,99.7511,88.9787,1.48423,2727744751
2756960839_sort.swc,3844,216567000.0,6,166,336,171,158980,201468,51777,548.952,1247210,2331230000,610594000000.0,168410.0,195647.0,43,0.919731,10.4375,0.837768,100.637,89.4072,1.28421,2756960839
2772043698_sort.swc,17894,108267000.0,4,628,1260,633,582820,646176,126951,521.8,5604140,9549090000,2658930000000.0,616165.0,737037.0,76,0.926287,13.2008,0.846734,102.075,92.4804,1.64837,2772043698
27768388911_sort.swc,22478,104834000.0,5,1556,3119,1564,473340,521632,116259,480.308,6866960,10762800000,2540810000000.0,531621.0,581503.0,178,0.932321,6.20648,0.830505,101.61,95.489,1.55954,27768388911
27827039927_sort.swc,10719,69515400.0,3,809,1623,815,234980,209568,118965,482.898,3254290,5154600000,1342520000000.0,206229.0,253957.0,147,0.932025,5.60382,0.820597,99.1299,95.4695,1.60933,27827039927
27841189087_sort.swc,18125,165009000.0,6,1111,2231,1121,614140,772772,118899,369.039,5567390,6740130000,1391660000000.0,864008.0,995017.0,186,0.929868,7.12371,0.803801,101.402,95.8584,1.51628,27841189087
2785842811_sort.swc,3844,128370000.0,4,275,553,279,114850,159196,107382,441.027,1188340,1804120000,488605000000.0,151895.0,179122.0,81,0.931357,5.94937,0.833015,99.6522,94.7838,1.31912,2785842811
2786527903_sort.swc,8780,143570000.0,5,527,1058,532,335740,245060,115830,423.088,2719760,3918380000,840066000000.0,226985.0,288403.0,107,0.926225,7.29773,0.827374,101.787,93.7291,1.47776,2786527903
2789755020_sort.swc,23651,76976900.0,3,1767,3546,1780,386240,294334,174240,351.17,7122300,7907300000,1250100000000.0,300903.0,442968.0,288,0.932717,5.66949,0.833442,100.24,94.0696,1.60406,2789755020
2815862747_sort.swc,10996,2071940.0,1,592,1186,594,453410,465116,84414,589.03,3421430,6566780000,2590530000000.0,466399.0,646445.0,132,0.924892,8.27066,0.831236,103.331,95.8975,1.34973,2815862747
2816504707_sort.swc,10513,98678700.0,6,322,648,327,400510,395488,172557,491.215,3324370,5566460000,1763040000000.0,434708.0,505860.0,83,0.928421,15.2222,0.80477,100.675,89.399,1.34914,2816504707
28248396519_sort.swc,27519,129037000.0,4,2140,4289,2150,372710,341184,119493,461.74,8309470,12445600000,2912280000000.0,272061.0,352044.0,188,0.934576,5.41595,0.82896,100.733,95.312,1.78129,28248396519
28396960832_sort.swc,49045,287317000.0,5,3508,7033,3526,445850,522110,109131,337.251,14908500,15945900000,2436850000000.0,332837.0,448653.0,226,0.926807,5.97341,0.807135,100.834,95.5467,1.88905,28396960832
28408495574_sort.swc,8148,30694900.0,5,579,1161,583,224350,274528,119592,478.312,2484790,3854990000,786854000000.0,280512.0,316601.0,110,0.935084,6.01723,0.794573,100.339,93.0679,1.51129,28408495574
28453321285_sort.swc,15620,1727580.0,4,1345,2696,1352,253570,340578,111804,348.775,4638190,5066320000,608523000000.0,200024.0,269709.0,175,0.936968,4.7934,0.799496,100.18,95.4123,1.48989,28453321285
