Name,Nodes,SomaSurface,Stems,Bifurcations,Branches,Tips,OverallWidth,OverallHeight,OverallDepth,AverageDiameter,Length,Surface,Volume,MaxEuclideanDistance,MaxPathDistance,MaxBranchOrder,AverageContraction,AverageFragmentation,AverageParent-daughterRatio,AverageBifurcationAngleLocal,AverageBifurcationAngleRemote,HausdorffDimension,cell_type,Normalized_Name
31612013575_sort.swc,18208,129563000.0,3,983,1969,987,647290.0,546270.0,124113,452.05,5604630.0,8185600000.0,2208080000000.0,578551.0,665375.0,195,0.927526,8.24683,0.826948,101.931,95.1267,1.4922,,31612013575
1683217893_sort.swc,31915,101133000.0,3,2547,5105,2559,336380.0,422272.0,119559,428.941,9605220.0,13062300000.0,3089860000000.0,369423.0,447507.0,268,0.928451,5.25152,0.832567,101.251,95.2899,1.68347,,1683217893
37831222440_sort.swc,22666,179620000.0,3,1803,3615,1813,234080.0,416284.0,97416,336.241,6798410.0,7339950000.0,1641480000000.0,287672.0,363893.0,234,0.924425,5.26971,0.794907,101.666,96.2711,1.75752,,37831222440
30719398094_sort.swc,13714,357265000.0,3,676,1356,681,551646.0,512386.0,117216,684.936,4264300.0,9575570000.0,5158150000000.0,570489.0,667522.0,132,0.928981,9.11283,0.812095,100.634,93.1742,1.41637,,30719398094
6122859623_sort.swc,4956,269640000.0,3,293,587,295,165630.0,92960.0,54450,735.746,1534430.0,3753800000.0,2613620000000.0,100403.0,131749.0,48,0.923544,7.44123,0.88327,103.018,96.1132,1.37287,,6122859623
3558556330_sort.swc,9480,209366000.0,3,852,1709,858,258110.0,178980.0,58047,461.643,2847890.0,4518120000.0,2219650000000.0,198483.0,266733.0,60,0.922332,4.54652,0.818167,105.506,100.027,1.40923,,3558556330
59609533118_sort.swc,4843,147665000.0,3,83,167,85,397510.0,189920.0,41448,411.002,1542920.0,2137370000.0,951459000000.0,280948.0,400964.0,29,0.921676,27.994,0.926256,100.691,91.2063,1.50251,,59609533118
3183573389_sort.swc,59984,210585000.0,3,5105,10240,5136,425180.0,690462.0,174141,394.161,17902100.0,22278500000.0,4811500000000.0,456832.0,691019.0,424,0.932905,4.85771,0.835761,100.755,95.1602,1.99329,,3183573389
33071676971_sort.swc,15695,215075000.0,3,1297,2602,1306,346270.0,225920.0,86592,556.54,4754670.0,8573150000.0,4025830000000.0,217131.0,270099.0,169,0.929132,5.03151,0.847122,101.37,95.2665,1.66762,,33071676971
12237931142_sort.swc,13926,109394000.0,3,308,617,310,347460.0,441792.0,147147,465.91,4395870.0,6591340000.0,1777140000000.0,374393.0,440268.0,32,0.917364,21.5689,0.899115,107.24,95.9148,1.39078,,12237931142
1391140193_sort.swc,66378,136592000.0,3,5272,10564,5293,518180.0,596992.0,119559,489.417,20091400.0,31109100000.0,8578570000000.0,447506.0,545236.0,323,0.928452,5.28332,0.840787,100.208,95.5829,1.86542,,1391140193
4128739414_sort.swc,94187,488090000.0,3,7873,15785,7913,636580.0,684062.0,174273,421.514,28224500.0,37336000000.0,10144800000000.0,479070.0,838599.0,514,0.930784,4.9668,0.840299,99.795,94.5261,2.13651,,4128739414
4913485826_sort.swc,80979,158562000.0,4,6044,12111,6068,781980.0,690880.0,174009,467.167,24517100.0,36310300000.0,9784900000000.0,733405.0,1110000.0,591,0.926973,5.68632,0.821085,100.979,94.8845,2.08854,,4913485826
2847633401_sort.swc,22494,264404000.0,3,1565,3139,1575,474760.0,621828.0,174405,480.054,6876690.0,10705600000.0,3601780000000.0,562299.0,674342.0,238,0.928891,6.16566,0.819162,100.675,95.3457,1.7181,,2847633401
3541925551_sort.swc,7691,348622000.0,3,429,859,431,348190.0,288410.0,57123,925.761,2412240.0,7776840000.0,8204390000000.0,265461.0,361887.0,135,0.925012,7.95227,0.829128,104.445,97.9043,1.4444,,3541925551
38144720132_sort.swc,14063,312989000.0,3,743,1488,746,395680.0,526880.0,114048,499.82,4332180.0,6957120000.0,2733350000000.0,314071.0,392225.0,125,0.926096,8.45027,0.81402,102.29,92.9806,1.42131,,38144720132
29600770411_sort.swc,6708,192708000.0,3,159,319,161,490940.0,571580.0,114906,734.43,2131110.0,5218700000.0,2584050000000.0,560272.0,624192.0,56,0.930488,20.0251,0.857059,108.959,93.8464,1.26335,,29600770411
6327241569_sort.swc,18356,201612000.0,3,1159,2320,1162,454660.0,336260.0,57750,570.4,5652590.0,10505200000.0,4001130000000.0,351425.0,463462.0,193,0.922888,6.91164,0.836829,103.144,94.7567,1.53565,,6327241569
29736864868_sort.swc,22600,224713000.0,3,1769,3542,1774,269790.0,363168.0,101607,396.083,6810030.0,8658500000.0,2572270000000.0,224120.0,294103.0,170,0.926812,5.38029,0.807337,101.24,95.7541,1.72869,,29736864868
47068485796_sort.swc,10009,290177000.0,3,666,1334,669,252830.0,336416.0,85668,615.726,3083750.0,6396290000.0,2952430000000.0,289558.0,399356.0,144,0.932208,6.50225,0.842725,101.342,94.3061,1.38699,,47068485796
3096186173_sort.swc,59800,156297000.0,3,4712,9455,4744,619900.0,623298.0,172359,375.739,17971000.0,21337100000.0,4641570000000.0,407626.0,712201.0,432,0.933261,5.32459,0.821365,100.024,94.9071,1.99786,,3096186173
3149187866_sort.swc,21972,358355000.0,3,927,1857,931,511040.0,367590.0,174042,624.32,6882410.0,14176400000.0,7180270000000.0,348680.0,519294.0,70,0.92415,10.8314,0.834172,103.578,93.5841,1.74304,,3149187866
4522981658_sort.swc,8290,125387000.0,3,347,696,350,249210.0,297950.0,146157,438.761,2573950.0,3577820000.0,822616000000.0,233832.0,475629.0,228,0.92423,10.9095,0.839525,104.306,94.2199,1.31456,,4522981658
2641525789_sort.swc,31222,19760800.0,4,2098,4204,2107,502850.0,639420.0,174570,418.47,9477090.0,12563800000.0,2455040000000.0,434075.0,539028.0,174,0.924861,6.4265,0.804441,101.894,95.1623,1.61105,,2641525789
4595679400_sort.swc,58859,449556000.0,3,4769,9566,4798,808990.0,641060.0,173316,409.601,17714200.0,23128100000.0,7865970000000.0,581091.0,725101.0,650,0.932357,5.15283,0.832413,100.267,94.7651,1.81663,,4595679400
39533216278_sort.swc,5962,111767000.0,3,127,255,129,364480.0,363196.0,79728,447.147,1877020.0,2699760000.0,790769000000.0,384113.0,499372.0,54,0.912321,22.3765,0.88707,104.187,92.8654,1.26572,,39533216278
4131659687_sort.swc,15598,156093000.0,4,1184,2373,1190,275270.0,280220.0,59202,506.845,4733960.0,7848150000.0,2871410000000.0,210102.0,283443.0,196,0.923815,5.57269,0.849694,101.464,96.0705,1.63229,,4131659687
31461725447_sort.swc,42214,253626000.0,3,2846,5696,2851,559740.0,839356.0,124014,460.861,12837500.0,19073500000.0,5420560000000.0,608148.0,721824.0,309,0.931813,6.41099,0.835346,100.886,94.0469,1.70464,,31461725447
32413185358_sort.swc,4577,155105000.0,3,85,171,87,341540.0,198790.0,115830,627.609,1452470.0,2905740000.0,1259750000000.0,351449.0,420747.0,26,0.915387,25.7602,0.859481,107.53,94.9331,1.31677,,32413185358
