Name,Nodes,SomaSurface,Stems,Bifurcations,Branches,Tips,OverallWidth,OverallHeight,OverallDepth,AverageDiameter,Length,Surface,Volume,MaxEuclideanDistance,MaxPathDistance,MaxBranchOrder,AverageContraction,AverageFragmentation,AverageParent-daughterRatio,AverageBifurcationAngleLocal,AverageBifurcationAngleRemote,HausdorffDimension,Normalized_Name
10726202405.swc,2222,12868.0,1,272,500,282,18624.0,33472.0,35079,524.618,657085.0,1236020000.0,873230000000.0,28736.5,82808.5,39,0.937835,3.19,0.931767,94.3396,89.852,1.67327,10726202405
1086811256.swc,43736,26688200.0,1,3637,5326,3730,316576.0,446176.0,174306,474.553,13248200.0,20131000000.0,7486070000000.0,304259.0,349767.0,217,0.927577,5.03492,0.847881,73.3422,69.4766,1.85412,1086811256
1127957016.swc,2053,78024.6,1,110,152,117,110272.0,79296.0,17292,663.263,644313.0,1349900000.0,617561000000.0,94408.0,140176.0,25,0.911811,10.2105,0.875703,69.3319,63.9207,1.28965,1127957016
1218293403.swc,15594,106211.0,1,1004,1500,1010,337376.0,418944.0,174438,549.309,4782320.0,8584860000.0,3576940000000.0,342212.0,406734.0,182,0.931555,6.86,0.841067,75.5972,71.3228,1.43187,1218293403
1231798802.swc,18767,1312730.0,1,1469,2937,1484,297696.0,287552.0,54846,507.264,5652550.0,9092610000.0,2764210000000.0,236023.0,347897.0,237,0.930792,5.36159,0.860353,99.5129,94.3591,1.68408,1231798802
1274143080.swc,2258,2655270.0,1,58,111,60,170848.0,189536.0,51810,816.71,716518.0,1903660000.0,907526000000.0,231130.0,302584.0,25,0.917171,19.1441,0.911418,104.978,89.0092,1.27925,1274143080
1275267033.swc,44867,51471.9,1,3208,6393,3249,684672.0,617216.0,173778,483.107,13654600.0,20949800000.0,8060910000000.0,633080.0,1040570.0,604,0.926689,5.92805,0.826047,99.9354,95.3507,1.74218,1275267033
1275968412.swc,8034,65156.6,1,81,164,83,172608.0,401600.0,54120,472.715,2592710.0,4179350000.0,2261490000000.0,354481.0,400631.0,20,0.93552,47.9817,0.936683,100.596,89.5319,1.43218,1275968412
12831199228.swc,40172,1364210.0,1,2351,4706,2364,529920.0,593312.0,157707,464.375,12295900.0,18323500000.0,5815520000000.0,448099.0,691443.0,188,0.928386,7.52677,0.816055,100.757,94.1626,1.69831,12831199228
1288378363.swc,4474,51471.9,1,77,149,79,137952.0,151616.0,50886,490.288,1419440.0,2250040000.0,1017810000000.0,101120.0,297574.0,29,0.939221,28.2886,0.937,104.523,100.744,1.29322,1288378363
