Name,Nodes,SomaSurface,Stems,Bifurcations,Branches,Tips,OverallWidth,OverallHeight,OverallDepth,AverageDiameter,Length,Surface,Volume,MaxEuclideanDistance,MaxPathDistance,MaxBranchOrder,AverageContraction,AverageFragmentation,AverageParent-daughterRatio,AverageBifurcationAngleLocal,AverageBifurcationAngleRemote,HausdorffDimension,Normalized_Name
1231798802.swc,18767,1312730.0,1,1469,2937,1484,297696.0,287552.0,54846,507.264,5652550.0,9092610000.0,2764210000000.0,236023.0,347897.0,237,0.930792,5.36159,0.860353,99.5129,94.3591,1.68408,1231798802
1274143080.swc,2258,2655270.0,1,58,111,60,170848.0,189536.0,51810,816.71,716518.0,1903660000.0,907526000000.0,231130.0,302584.0,25,0.917171,19.1441,0.911418,104.978,89.0092,1.27925,1274143080
1275267033.swc,44867,51471.9,1,3208,6393,3249,684672.0,617216.0,173778,483.107,13654600.0,20949800000.0,8060910000000.0,633080.0,1040570.0,604,0.926689,5.92805,0.826047,99.9354,95.3507,1.74218,1275267033
1275968412.swc,8034,65156.6,1,81,164,83,172608.0,401600.0,54120,472.715,2592710.0,4179350000.0,2261490000000.0,354481.0,400631.0,20,0.93552,47.9817,0.936683,100.596,89.5319,1.43218,1275968412
12831199228.swc,40172,1364210.0,1,2351,4706,2364,529920.0,593312.0,157707,464.375,12295900.0,18323500000.0,5815520000000.0,448099.0,691443.0,188,0.928386,7.52677,0.816055,100.757,94.1626,1.69831,12831199228
14665552179.swc,9498,12868.0,1,454,909,457,378496.0,296960.0,149061,546.252,2952900.0,5266580000.0,1855590000000.0,336114.0,441415.0,107,0.918715,9.42794,0.830388,102.266,93.307,1.49406,14665552179
15583706758.swc,26019,78024.6,1,1001,1972,1010,1021790.0,625952.0,146916,606.262,8130540.0,15769000000.0,4928100000000.0,584878.0,876545.0,168,0.923483,11.9346,0.845664,101.816,92.6421,1.61051,15583706758
15876719776.swc,32905,2895490.0,1,2142,4204,2156,727712.0,592384.0,174141,428.742,10021000.0,13696300000.0,2891370000000.0,506362.0,570785.0,169,0.923496,6.68839,0.815466,99.6582,93.0806,1.82217,15876719776
1696957444.swc,14864,39420.7,1,1124,2240,1142,415424.0,543808.0,88638,589.844,4528960.0,8761930000.0,4197160000000.0,355604.0,501613.0,305,0.934382,5.58214,0.846103,99.9324,93.3776,1.45897,1696957444
1700024740.swc,13266,116628.0,1,166,333,168,549088.0,321664.0,171237,566.265,4235360.0,7852990000.0,3028570000000.0,337041.0,598918.0,36,0.926736,38.7838,0.943773,106.666,92.1587,1.54393,1700024740
1915887451.swc,18632,1055170.0,1,1259,2502,1274,282496.0,265728.0,55275,406.711,5661860.0,7228790000.0,1575400000000.0,311758.0,495787.0,457,0.931635,6.39369,0.839888,99.6116,93.3173,1.73278,1915887451
1917973755.swc,847,115812.0,1,61,123,63,46976.0,72512.0,21780,742.524,262369.0,674577000.0,310340000000.0,49692.0,58903.5,23,0.94992,5.76423,0.879501,101.035,92.5826,1.27537,1917973755
2047981401.swc,31411,78024.6,1,2655,5268,2676,362112.0,365056.0,173811,379.485,9396210.0,11287500000.0,2167910000000.0,265423.0,367992.0,231,0.932768,4.88971,0.810811,99.2294,93.5573,1.62619,2047981401
2076584617.swc,29924,3012930.0,1,2381,4751,2398,376800.0,565120.0,174174,414.929,9015320.0,12029000000.0,2831890000000.0,344644.0,463826.0,250,0.931036,5.26352,0.818901,100.253,95.0908,1.81982,2076584617
2119321965.swc,13981,106211.0,1,987,1977,991,437216.0,504544.0,78870,401.803,4236090.0,5501300000.0,1313350000000.0,509432.0,803919.0,344,0.927809,6.06879,0.804899,101.081,96.0941,1.42979,2119321965
2120664722.swc,53437,78024.6,1,4338,8684,4367,378944.0,480608.0,174207,415.937,16141900.0,21136800000.0,4819440000000.0,439329.0,692022.0,442,0.926675,5.14417,0.814112,100.669,94.988,1.9516,2120664722
2280398814.swc,5736,64339.8,1,202,401,205,232800.0,293216.0,163746,576.684,1800210.0,3367270000.0,1309140000000.0,332478.0,396704.0,56,0.922385,13.1771,0.861884,104.126,96.6554,1.26509,2280398814
2296286050.swc,15864,106211.0,1,1255,2516,1264,385344.0,250720.0,146718,407.556,4767910.0,6148990000.0,1390030000000.0,207187.0,332761.0,292,0.931171,5.29928,0.838798,101.217,95.151,1.63524,2296286050
2366034130.swc,3131,64339.8,1,120,242,123,93984.0,144576.0,66660,682.157,984708.0,2191190000.0,1074990000000.0,119049.0,192233.0,23,0.927795,11.9256,0.882321,103.114,96.1123,1.20555,2366034130
2456530660.swc,2618,54739.1,1,60,121,61,123872.0,127712.0,52107,491.439,840082.0,1326860000.0,541709000000.0,158797.0,213866.0,23,0.91903,20.6281,0.855942,105.08,89.6342,1.20284,2456530660
2496771332.swc,32125,65156.6,1,2390,4778,2402,374528.0,447296.0,174438,476.482,9707880.0,14672500000.0,3362720000000.0,338739.0,465747.0,245,0.931091,5.70134,0.824322,101.082,94.6269,1.68194,2496771332
2573062993.swc,3049,586410.0,1,87,175,89,115168.0,163456.0,54582,560.039,980146.0,1869100000.0,849955000000.0,130730.0,171229.0,23,0.923465,16.2743,0.866578,102.904,91.4121,1.26114,2573062993
2615929829.swc,6399,78024.6,1,475,936,480,219392.0,148928.0,66792,459.209,1930930.0,2881280000.0,867516000000.0,163987.0,266167.0,118,0.933084,5.77671,0.852811,98.9044,94.5964,1.3999,2615929829
2657996264.swc,48653,115812.0,1,3501,7006,3528,709536.0,833504.0,174471,440.568,14776500.0,20703100000.0,5696300000000.0,807288.0,1007970.0,585,0.930804,5.93434,0.830516,100.46,94.9,1.75349,2657996264
2671137240.swc,13096,78024.6,1,756,1496,769,361440.0,377536.0,66792,481.521,4017990.0,6227560000.0,1869510000000.0,259631.0,398984.0,155,0.923221,7.62166,0.839082,100.014,93.9141,1.56715,2671137240
2671764623.swc,1535,946713.0,1,35,71,37,144480.0,165920.0,52239,756.215,489086.0,1256430000.0,704356000000.0,147584.0,218170.0,21,0.930976,20.4507,0.895792,97.6591,85.5636,1.22992,2671764623
2714457325.swc,16050,1878720.0,1,286,555,291,387808.0,682144.0,174240,601.192,5081350.0,9884080000.0,3703490000000.0,489714.0,760423.0,43,0.931016,27.7423,0.899827,97.3922,88.1244,1.43317,2714457325
2727744751.swc,5535,102944.0,1,294,589,297,139680.0,341216.0,51777,639.785,1701430.0,3510020000.0,1782290000000.0,326740.0,416185.0,119,0.925241,8.37351,0.837557,99.5858,90.6211,1.4514,2727744751
27622860459.swc,945,142364.0,1,27,56,29,73280.0,63328.0,59136,871.688,308609.0,1038970000.0,978502000000.0,62644.3,90750.2,15,0.918416,15.8571,1.03363,105.539,102.313,1.26624,27622860459
27652018127.swc,38540,64339.8,1,3028,6015,3054,358400.0,281824.0,122034,481.999,11665500.0,18260400000.0,6771230000000.0,230344.0,515156.0,344,0.928519,5.36076,0.839016,99.2803,93.9338,1.88775,27652018127
2774817862.swc,63574,78024.6,1,4962,9938,4980,578496.0,828576.0,174471,426.835,19094600.0,26023000000.0,7192320000000.0,558018.0,717752.0,537,0.934213,5.39606,0.833648,100.316,95.5386,2.00579,2774817862
2776001292.swc,10135,102944.0,1,207,413,209,164544.0,195872.0,57486,326.9,3192850.0,3330940000.0,1119700000000.0,175916.0,407393.0,37,0.924496,23.1429,0.883309,99.2547,92.9983,1.49154,2776001292
27783148293.swc,49984,12868.0,1,3493,6978,3521,576288.0,621984.0,119427,481.152,15208800.0,23585600000.0,8625430000000.0,445791.0,652155.0,302,0.929535,6.13141,0.827781,100.304,94.5469,1.93339,27783148293
27797692015.swc,49869,25735.9,1,3483,6953,3503,516608.0,546944.0,119493,463.349,15133300.0,22351100000.0,6924120000000.0,498866.0,737427.0,256,0.931992,6.1398,0.817492,100.444,95.339,1.78299,27797692015
28075125335.swc,39854,54739.1,1,3072,6145,3090,545856.0,492640.0,121869,463.303,12006000.0,17684900000.0,4112640000000.0,434811.0,736544.0,413,0.930811,5.47437,0.82469,100.344,94.9115,1.88036,28075125335
28090428260.swc,12245,102944.0,1,748,1498,750,211328.0,437536.0,116292,396.903,3744260.0,4826180000.0,1484520000000.0,284163.0,379201.0,138,0.928945,7.17356,0.778871,102.036,96.4467,1.5524,28090428260
